Row.names	SAMN14088077	SAMN14088076	SAMN14088075	median_TPM	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ARPC4-TTLL3	1.37441	1.10702	1.47126	1.37441	ENSG00000250151	protein_coding	chr3	9793082	9835401	chr3:9793082	ARPC4-TTLL3	protein_coding	chr3	9793082	9835401	chr3:9793082	ENSG00000250151
ARPC5	168.7969	177.0689	172.2046	172.2046	ENSG00000162704	protein_coding	chr1	183620846	183635757	chr1:183620846	ARPC5	protein_coding	chr1	183620846	183635783	chr1:183620846	ENSG00000162704
ARPC5L	51.01462	51.10211	50.86792	51.01462	ENSG00000136950	protein_coding	chr9	124862130	124877733	chr9:124862130	ARPC5L	protein_coding	chr9	124862130	124877733	chr9:124862130	ENSG00000136950
ARPIN	11.289182	10.752829	11.55463	11.289182	ENSG00000242498	protein_coding	chr15	89895006	89912956	chr15:89895006	ARPIN	protein_coding	chr15	89895006	89912952	chr15:89895006	ENSG00000242498
ARPP19	80.757531	83.61872	76.300332	80.757531	ENSG00000128989	protein_coding	chr15	52547045	52569883	chr15:52547045	ARPP19	protein_coding	chr15	52547045	52569883	chr15:52547045	ENSG00000128989
ARRB1	7.85646	7.34105	8.17349	7.85646	ENSG00000137486	protein_coding	chr11	75264182	75351705	chr11:75264182	ARRB1	protein_coding	chr11	75260122	75351705	chr11:75260122	ENSG00000137486
ARRB2	68.583050345	71.39499	70.09644	70.09644	ENSG00000141480	protein_coding	chr17	4710489	4721499	chr17:4710489	ARRB2	protein_coding	chr17	4710596	4721499	chr17:4710596	ENSG00000141480
ARRDC1	15.7401	15.6742	15.7669	15.7401	ENSG00000197070	protein_coding	chr9	137605654	137615360	chr9:137605654	ARRDC1	protein_coding	chr9	137605685	137615360	chr9:137605685	ENSG00000197070
ARRDC1-AS1	14.83132	12.53373	14.95494	14.83132	ENSG00000203993	antisense	chr9	137615332	137618906	chr9:137615332	ARRDC1-AS1	lncRNA	chr9	137615326	137618906	chr9:137615326	ENSG00000203993
ARRDC2	4.53137	4.46839	3.852282	4.46839	ENSG00000105643	protein_coding	chr19	18001132	18014102	chr19:18001132	ARRDC2	protein_coding	chr19	18001132	18014102	chr19:18001132	ENSG00000105643
ARRDC3	6.6133	7.16705	6.31073	6.6133	ENSG00000113369	protein_coding	chr5	91368724	91383359	chr5:91368724	ARRDC3	protein_coding	chr5	91368631	91383317	chr5:91368631	ENSG00000113369
ARRDC3-AS1	2.7268	2.94338	3.0609	2.94338	ENSG00000281357	lincRNA	chr5	91380349	91439085	chr5:91380349	ARRDC3-AS1	lncRNA	chr5	91380349	91616105	chr5:91380349	ENSG00000281357
ARRDC4	13.446	13.9507	13.4774	13.4774	ENSG00000140450	protein_coding	chr15	97960698	97973838	chr15:97960698	ARRDC4	protein_coding	chr15	97960703	97973833	chr15:97960703	ENSG00000140450
ARSA	3.359482	4.0448644	4.170912	4.0448644	ENSG00000100299	protein_coding	chr22	50622754	50628173	chr22:50622754	ARSA	protein_coding	chr22	50622754	50628173	chr22:50622754	ENSG00000100299
ARSB	5.7284377	6.40014	5.820139	5.820139	ENSG00000113273	protein_coding	chr5	78777209	78986087	chr5:78777209	ARSB	protein_coding	chr5	78777209	78986087	chr5:78777209	ENSG00000113273
ARSG	2.080507	2.08316	2.056917	2.080507	ENSG00000141337	protein_coding	chr17	68259182	68422731	chr17:68259182	ARSG	protein_coding	chr17	68259182	68422731	chr17:68259182	ENSG00000141337
ARSK	15.94079	15.92238	16.13471	15.94079	ENSG00000164291	protein_coding	chr5	95555074	95605064	chr5:95555074	ARSK	protein_coding	chr5	95555101	95605102	chr5:95555101	ENSG00000164291
ART5	4.342063	3.379666	3.603685	3.603685	ENSG00000167311	protein_coding	chr11	3638503	3642316	chr11:3638503	ART5	protein_coding	chr11	3638512	3642316	chr11:3638512	ENSG00000167311
ARV1	105.9577	111.8627	109.784	109.784	ENSG00000173409	protein_coding	chr1	230978981	231000595	chr1:230978981	ARV1	protein_coding	chr1	230978981	231000733	chr1:230978981	ENSG00000173409
ARVCF	4.133133	3.782105	4.08858	4.08858	ENSG00000099889	protein_coding	chr22	19969896	20016808	chr22:19969896	ARVCF	protein_coding	chr22	19969896	20016823	chr22:19969896	ENSG00000099889
AS3MT	11.44004	9.21828	9.14591	9.21828	ENSG00000214435	protein_coding	chr10	102869516	102901899	chr10:102869516	AS3MT	protein_coding	chr10	102869470	102901899	chr10:102869470	ENSG00000214435
ASAH1	29.31145	28.069538	27.71259	28.069538	ENSG00000104763	protein_coding	chr8	18056425	18084985	chr8:18056425	ASAH1	protein_coding	chr8	18055992	18084998	chr8:18055992	ENSG00000104763
ASAH2	2.53255	2.30153	2.37234	2.37234	ENSG00000188611	protein_coding	chr10	50182778	50248610	chr10:50182778	ASAH2	protein_coding	chr10	50182778	50279720	chr10:50182778	ENSG00000188611
ASAH2B	16.22839	16.8731	11.85503	16.22839	ENSG00000204147	protein_coding	chr10	50739318	50816495	chr10:50739318	ASAH2B	protein_coding	chr10	50739318	50816495	chr10:50739318	ENSG00000204147
ASAP1	18.184929	18.17484	18.82539	18.184929	ENSG00000153317	protein_coding	chr8	130052104	130443660	chr8:130052104	ASAP1	protein_coding	chr8	130052104	130443674	chr8:130052104	ENSG00000153317
ASAP2	7.269096	6.50824	7.00229	7.00229	ENSG00000151693	protein_coding	chr2	9206765	9405683	chr2:9206765	ASAP2	protein_coding	chr2	9206765	9405683	chr2:9206765	ENSG00000151693
ASAP3	3.51168	3.663977	3.651818	3.651818	ENSG00000088280	protein_coding	chr1	23428563	23484568	chr1:23428563	ASAP3	protein_coding	chr1	23428563	23484568	chr1:23428563	ENSG00000088280
ASB1	8.79583	8.0366	9.96742	8.79583	ENSG00000065802	protein_coding	chr2	238426742	238452250	chr2:238426742	ASB1	protein_coding	chr2	238426742	238452250	chr2:238426742	ENSG00000065802
ASB13	24.4398	23.7602	24.2472	24.2472	ENSG00000196372	protein_coding	chr10	5638867	5666595	chr10:5638867	ASB13	protein_coding	chr10	5638867	5666595	chr10:5638867	ENSG00000196372
ASB16-AS1	4.26576	4.40401	4.37405	4.37405	ENSG00000267080	antisense	chr17	44175973	44186717	chr17:44175973	ASB16-AS1	lncRNA	chr17	44175968	44186723	chr17:44175968	ENSG00000267080
ASB3	26.710579	27.8000161	27.416089	27.416089	ENSG00000115239	protein_coding	chr2	53532672	53787610	chr2:53532672	ASB3	protein_coding	chr2	53532672	53860160	chr2:53532672	ENSG00000115239
ASB6	22.54408	24.52743	23.41503	23.41503	ENSG00000148331	protein_coding	chr9	129634604	129642169	chr9:129634604	ASB6	protein_coding	chr9	129634604	129642169	chr9:129634604	ENSG00000148331
ASB7	13.385197	12.441715	13.11358	13.11358	ENSG00000183475	protein_coding	chr15	100602534	100651705	chr15:100602534	ASB7	protein_coding	chr15	100602589	100651701	chr15:100602589	ENSG00000183475
ASB8	26.931786	28.9796230044886	25.661122	26.931786	ENSG00000177981	protein_coding	chr12	48147788	48181213	chr12:48147788	ASB8	protein_coding	chr12	48147789	48181213	chr12:48147789	ENSG00000177981
ASCC1	37.93518	38.83788	39.58207	38.83788	ENSG00000138303	protein_coding	chr10	72096032	72217134	chr10:72096032	ASCC1	protein_coding	chr10	72096032	72217134	chr10:72096032	ENSG00000138303
ASCC2	41.539092	41.661189	42.487462	41.661189	ENSG00000100325	protein_coding	chr22	29788608	29838304	chr22:29788608	ASCC2	protein_coding	chr22	29788609	29838304	chr22:29788609	ENSG00000100325
ASCC3	42.81806	43.42347	41.56395	42.81806	ENSG00000112249	protein_coding	chr6	100508194	100881372	chr6:100508194	ASCC3	protein_coding	chr6	100508194	100881372	chr6:100508194	ENSG00000112249
ASF1A	46.5336	51.3305	45.2543	46.5336	ENSG00000111875	protein_coding	chr6	118894220	118909167	chr6:118894220	ASF1A	protein_coding	chr6	118894152	118909171	chr6:118894152	ENSG00000111875
ASF1B	66.48828	65.92105	70.70087	66.48828	ENSG00000105011	protein_coding	chr19	14119509	14136956	chr19:14119509	ASF1B	protein_coding	chr19	14119512	14136613	chr19:14119512	ENSG00000105011
ASGR1	1.067439	1.1385661	0.95062260902	1.067439	ENSG00000141505	protein_coding	chr17	7173431	7179564	chr17:7173431	ASGR1	protein_coding	chr17	7173431	7179564	chr17:7173431	ENSG00000141505
ASH1L	18.194785	17.864367	17.692784	17.864367	ENSG00000116539	protein_coding	chr1	155335268	155562807	chr1:155335268	ASH1L	protein_coding	chr1	155335268	155563162	chr1:155335268	ENSG00000116539
ASH1L-AS1	3.81173	4.1223	3.43014	3.81173	ENSG00000235919	antisense	chr1	155562042	155563944	chr1:155562042	ASH1L-AS1	lncRNA	chr1	155562026	155563944	chr1:155562026	ENSG00000235919
ASH2L	42.77675	41.71695	40.89487	41.71695	ENSG00000129691	protein_coding	chr8	38105242	38144076	chr8:38105242	ASH2L	protein_coding	chr8	38105493	38144076	chr8:38105493	ENSG00000129691
ASIC1	9.3086722	9.208805	10.00054	9.3086722	ENSG00000110881	protein_coding	chr12	50057548	50083611	chr12:50057548	ASIC1	protein_coding	chr12	50057548	50083611	chr12:50057548	ENSG00000110881
ASIC3	1.039139	0.88906	1.032202	1.032202	ENSG00000213199	protein_coding	chr7	151048292	151052756	chr7:151048292	ASIC3	protein_coding	chr7	151048292	151052756	chr7:151048292	ENSG00000213199
ASL	8.03615	9.287883	8.815912	8.815912	ENSG00000126522	protein_coding	chr7	66075798	66093558	chr7:66075798	ASL	protein_coding	chr7	66075800	66094697	chr7:66075800	ENSG00000126522
ASMTL	10.045906	9.84425372	10.439348	10.045906	ENSG00000169093	protein_coding	chrX	1403139	1453762	chrX:1403139	ASMTL	protein_coding	chrX	1403139	1453762	chrX:1403139	ENSG00000169093
ASMTL-AS1	1.972713	2.831874	3.06953	2.831874	ENSG00000236017	antisense	chrX	1401769	1414028	chrX:1401769	ASMTL-AS1	lncRNA	chrX	1401769	1414028	chrX:1401769	ENSG00000236017
ASNA1	56.27839	58.89123	58.19572	58.19572	ENSG00000198356	protein_coding	chr19	12737139	12748323	chr19:12737139	GET3	protein_coding	chr19	12737139	12748323	chr19:12737139	ENSG00000198356
ASNS	188.46420144	190.77853	192.800097196	190.77853	ENSG00000070669	protein_coding	chr7	97852118	97872542	chr7:97852118	ASNS	protein_coding	chr7	97851677	97872542	chr7:97851677	ENSG00000070669
ASNSD1	115.031330034247	121.32082	114.55183	115.031330034247	ENSG00000138381	protein_coding	chr2	189661385	189670831	chr2:189661385	ASNSD1	protein_coding	chr2	189661385	189670831	chr2:189661385	ENSG00000138381
ASPH	68.5833682252482	68.864852813741	63.0342782492	68.5833682252482	ENSG00000198363	protein_coding	chr8	61500556	61714640	chr8:61500556	ASPH	protein_coding	chr8	61500556	61714640	chr8:61500556	ENSG00000198363
ASPHD1	0.9438508	1.3940309	1.462074	1.3940309	ENSG00000174939	protein_coding	chr16	29900375	29919864	chr16:29900375	ASPHD1	protein_coding	chr16	29900375	29919864	chr16:29900375	ENSG00000174939
ASPHD2	5.24676	4.82743	5.43581	5.24676	ENSG00000128203	protein_coding	chr22	26429273	26445015	chr22:26429273	ASPHD2	protein_coding	chr22	26429260	26445015	chr22:26429260	ENSG00000128203
ASPM	64.9801	68.0134	64.40191	64.9801	ENSG00000066279	protein_coding	chr1	197084128	197146694	chr1:197084128	ASPM	protein_coding	chr1	197084121	197146694	chr1:197084121	ENSG00000066279
ASPSCR1	12.130964	13.578345	13.723851	13.578345	ENSG00000169696	protein_coding	chr17	81976807	82017406	chr17:81976807	ASPSCR1	protein_coding	chr17	81976807	82017406	chr17:81976807	ENSG00000169696
ASRGL1	26.46448	28.25921	25.1558542881	26.46448	ENSG00000162174	protein_coding	chr11	62337448	62393412	chr11:62337448	ASRGL1	protein_coding	chr11	62337448	62393412	chr11:62337448	ENSG00000162174
ASS1	39.407819149251	40.996333	40.175491	40.175491	ENSG00000130707	protein_coding	chr9	130444929	130501274	chr9:130444929	ASS1	protein_coding	chr9	130444961	130501274	chr9:130444961	ENSG00000130707
ASTE1	10.59173	11.21524	11.112909	11.112909	ENSG00000034533	protein_coding	chr3	131013875	131027649	chr3:131013875	ASTE1	protein_coding	chr3	131013875	131027649	chr3:131013875	ENSG00000034533
ASTN2	4.5829388	5.1710698	6.07549668	5.1710698	ENSG00000148219	protein_coding	chr9	116425225	117415070	chr9:116425225	ASTN2	protein_coding	chr9	116423112	117415070	chr9:116423112	ENSG00000148219
ASUN	69.7745	65.8513	63.7437	65.8513	ENSG00000064102	protein_coding	chr12	26905181	26938326	chr12:26905181	INTS13	protein_coding	chr12	26905181	26938326	chr12:26905181	ENSG00000064102
ASXL1	35.5018567	32.9367081	35.92312879	35.5018567	ENSG00000171456	protein_coding	chr20	32358344	32439319	chr20:32358344	ASXL1	protein_coding	chr20	32358330	32439319	chr20:32358330	ENSG00000171456
ASXL2	15.64631	15.39916	16.11326	15.64631	ENSG00000143970	protein_coding	chr2	25733753	25878516	chr2:25733753	ASXL2	protein_coding	chr2	25733753	25878487	chr2:25733753	ENSG00000143970
ASXL3	1.40886	1.30583	1.43325	1.40886	ENSG00000141431	protein_coding	chr18	33578615	33751192	chr18:33578615	ASXL3	protein_coding	chr18	33578219	33751195	chr18:33578219	ENSG00000141431
ATAD1	75.3936	74.7807	73.8594	74.7807	ENSG00000138138	protein_coding	chr10	87751512	87841343	chr10:87751512	ATAD1	protein_coding	chr10	87751512	87841361	chr10:87751512	ENSG00000138138
ATAD2	49.315764	50.879041	50.156735	50.156735	ENSG00000156802	protein_coding	chr8	123319850	123416350	chr8:123319850	ATAD2	protein_coding	chr8	123319850	123416350	chr8:123319850	ENSG00000156802
ATAD2B	10.5827	10.6017	10.3808	10.5827	ENSG00000119778	protein_coding	chr2	23748664	23927114	chr2:23748664	ATAD2B	protein_coding	chr2	23748664	23927123	chr2:23748664	ENSG00000119778
ATAD3A	50.93479	52.15661	51.88071	51.88071	ENSG00000197785	protein_coding	chr1	1512151	1534687	chr1:1512151	ATAD3A	protein_coding	chr1	1512162	1534685	chr1:1512162	ENSG00000197785
ATAD3B	40.9529	41.6191	44.4672	41.6191	ENSG00000160072	protein_coding	chr1	1471769	1497848	chr1:1471769	ATAD3B	protein_coding	chr1	1471765	1497848	chr1:1471765	ENSG00000160072
ATAD5	16.7762	17.0802	16.7239	16.7762	ENSG00000176208	protein_coding	chr17	30831970	30895869	chr17:30831970	ATAD5	protein_coding	chr17	30831966	30895869	chr17:30831966	ENSG00000176208
ATAT1	11.4466827048	11.0200050671	13.448055	11.4466827048	ENSG00000137343	protein_coding	chr6	30626842	30646823	chr6:30626842	ATAT1	protein_coding	chr6	30626842	30646823	chr6:30626842	ENSG00000137343
ATE1	20.592087	20.498744	19.273402563	20.498744	ENSG00000107669	protein_coding	chr10	121740421	121928801	chr10:121740421	ATE1	protein_coding	chr10	121709393	121928801	chr10:121709393	ENSG00000107669
ATF1	38.6473	40.5757	36.6201	38.6473	ENSG00000123268	protein_coding	chr12	50763710	50821122	chr12:50763710	ATF1	protein_coding	chr12	50763710	50821162	chr12:50763710	ENSG00000123268
ATF2	40.074691836	38.6508100045681	36.19037801739	38.6508100045681	ENSG00000115966	protein_coding	chr2	175072250	175168382	chr2:175072250	ATF2	protein_coding	chr2	175072250	175168382	chr2:175072250	ENSG00000115966
ATF3	22.013822	19.73055	22.620502	22.013822	ENSG00000162772	protein_coding	chr1	212565334	212620777	chr1:212565334	ATF3	protein_coding	chr1	212565334	212620777	chr1:212565334	ENSG00000162772
ATF4	721.81525	713.5372	738.81113	721.81525	ENSG00000128272	protein_coding	chr22	39519695	39522685	chr22:39519695	ATF4	protein_coding	chr22	39519695	39522683	chr22:39519695	ENSG00000128272
ATF5	13.1011	15.159277	13.969	13.969	ENSG00000169136	protein_coding	chr19	49928702	49933935	chr19:49928702	ATF5	protein_coding	chr19	49928702	49933935	chr19:49928702	ENSG00000169136
ATF6	19.7631	20.3083	19.9916	19.9916	ENSG00000118217	protein_coding	chr1	161766294	161964070	chr1:161766294	ATF6	protein_coding	chr1	161766298	161977574	chr1:161766298	ENSG00000118217
ATF6B	19.508872	20.11124	22.04042	20.11124	ENSG00000213676	protein_coding	chr6	32098176	32128253	chr6:32098176	ATF6B	protein_coding	chr6	32115264	32128253	chr6:32115264	ENSG00000213676
ATF7	24.07087	21.393388	20.3841660001387	21.393388	ENSG00000170653	protein_coding	chr12	53507856	53626410	chr12:53507856	ATF7	protein_coding	chr12	53507856	53626410	chr12:53507856	ENSG00000170653
ATF7IP	18.878735	19.032424	18.748356	18.878735	ENSG00000171681	protein_coding	chr12	14365632	14502935	chr12:14365632	ATF7IP	protein_coding	chr12	14365676	14502931	chr12:14365676	ENSG00000171681
ATF7IP2	2.540665	3.402339	3.105993	3.105993	ENSG00000166669	protein_coding	chr16	10326434	10483638	chr16:10326434	ATF7IP2	protein_coding	chr16	10326434	10483638	chr16:10326434	ENSG00000166669
ATG10	5.7510022	6.084725	5.946919	5.946919	ENSG00000152348	protein_coding	chr5	81972025	82276857	chr5:81972025	ATG10	protein_coding	chr5	81972023	82276857	chr5:81972023	ENSG00000152348
ATG10-IT1	1.60235	1.9998	0.58631	1.60235	ENSG00000236447	sense_intronic	chr5	81991995	81992481	chr5:81991995	ATG10-IT1	lncRNA	chr5	81991995	81992481	chr5:81991995	ENSG00000236447
ATG101	20.0279	19.2882	19.665	19.665	ENSG00000123395	protein_coding	chr12	52069246	52077494	chr12:52069246	ATG101	protein_coding	chr12	52069246	52077495	chr12:52069246	ENSG00000123395
ATG12	35.3205	36.1732	34.9643	35.3205	ENSG00000145782	protein_coding	chr5	115828200	115841858	chr5:115828200	ATG12	protein_coding	chr5	115828200	115841837	chr5:115828200	ENSG00000145782
ATG13	35.469885	34.726705	37.241684	35.469885	ENSG00000175224	protein_coding	chr11	46617527	46674818	chr11:46617527	ATG13	protein_coding	chr11	46617527	46674818	chr11:46617527	ENSG00000175224
ATG14	8.54035	9.17322	9.48493	9.17322	ENSG00000126775	protein_coding	chr14	55366392	55411858	chr14:55366392	ATG14	protein_coding	chr14	55366391	55411830	chr14:55366391	ENSG00000126775
ATG16L1	18.434894	17.805336	19.1738900381325	18.434894	ENSG00000085978	protein_coding	chr2	233210051	233295674	chr2:233210051	ATG16L1	protein_coding	chr2	233210051	233295674	chr2:233210051	ENSG00000085978
ATG16L2	2.863141	2.999521	2.039816	2.863141	ENSG00000168010	protein_coding	chr11	72814308	72843674	chr11:72814308	ATG16L2	protein_coding	chr11	72814406	72843674	chr11:72814406	ENSG00000168010
ATG2A	6.00873	6.3305600132261	6.64307	6.3305600132261	ENSG00000110046	protein_coding	chr11	64894546	64917248	chr11:64894546	ATG2A	protein_coding	chr11	64894546	64917211	chr11:64894546	ENSG00000110046
ATG2B	10.328	10.0374	10.3834	10.328	ENSG00000066739	protein_coding	chr14	96279202	96363870	chr14:96279202	ATG2B	protein_coding	chr14	96279195	96363341	chr14:96279195	ENSG00000066739
ATG3	97.04596	95.5219	93.71851	95.5219	ENSG00000144848	protein_coding	chr3	112532509	112562046	chr3:112532509	ATG3	protein_coding	chr3	112532510	112562046	chr3:112532510	ENSG00000144848
ATG4A	22.580561	22.6996	23.117896	22.6996	ENSG00000101844	protein_coding	chrX	108091668	108154671	chrX:108091668	ATG4A	protein_coding	chrX	108091668	108154671	chrX:108091668	ENSG00000101844
ATG4B	32.571278	32.160385	32.860366	32.571278	ENSG00000168397	protein_coding	chr2	241637213	241673857	chr2:241637213	ATG4B	protein_coding	chr2	241637213	241673857	chr2:241637213	ENSG00000168397
ATG4C	40.2013033	40.57404113	38.317104	40.2013033	ENSG00000125703	protein_coding	chr1	62784135	62865513	chr1:62784135	ATG4C	protein_coding	chr1	62784132	62865516	chr1:62784132	ENSG00000125703
ATG4D	17.7805	19.1331	18.0545	18.0545	ENSG00000130734	protein_coding	chr19	10543895	10553418	chr19:10543895	ATG4D	protein_coding	chr19	10543895	10553418	chr19:10543895	ENSG00000130734
ATG5	39.016241	39.298263	37.276758	39.016241	ENSG00000057663	protein_coding	chr6	106184476	106325820	chr6:106184476	ATG5	protein_coding	chr6	106045423	106325791	chr6:106045423	ENSG00000057663
ATG7	17.56296	17.28355	17.84067	17.56296	ENSG00000197548	protein_coding	chr3	11272309	11557665	chr3:11272309	ATG7	protein_coding	chr3	11272309	11557665	chr3:11272309	ENSG00000197548
ATG9A	25.253152	25.801214	25.844287	25.801214	ENSG00000198925	protein_coding	chr2	219209772	219229717	chr2:219209772	ATG9A	protein_coding	chr2	219219380	219229717	chr2:219219380	ENSG00000198925
ATHL1	2.219841	2.20121	2.712013	2.219841	ENSG00000142102	protein_coding	chr11	289135	296107	chr11:289135	PGGHG	protein_coding	chr11	289126	296107	chr11:289126	ENSG00000142102
ATIC	180.69476	179.06577	176.22028	179.06577	ENSG00000138363	protein_coding	chr2	215311817	215349773	chr2:215311817	ATIC	protein_coding	chr2	215311956	215349773	chr2:215311956	ENSG00000138363
ATL1	4.9743	5.600077	4.950951	4.9743	ENSG00000198513	protein_coding	chr14	50532509	50633068	chr14:50532509	ATL1	protein_coding	chr14	50532509	50634017	chr14:50532509	ENSG00000198513
ATL2	76.28276	74.943469	71.436960266182	74.943469	ENSG00000119787	protein_coding	chr2	38294880	38377285	chr2:38294880	ATL2	protein_coding	chr2	38293954	38377285	chr2:38293954	ENSG00000119787
ATL3	19.65453	18.07695	18.90526	18.90526	ENSG00000184743	protein_coding	chr11	63624087	63671921	chr11:63624087	ATL3	protein_coding	chr11	63624087	63671921	chr11:63624087	ENSG00000184743
ATM	15.210405	14.758478	16.938839	15.210405	ENSG00000149311	protein_coding	chr11	108222484	108369102	chr11:108222484	ATM	protein_coding	chr11	108223044	108369102	chr11:108223044	ENSG00000149311
ATMIN	27.21562	27.96404	26.78047	27.21562	ENSG00000166454	protein_coding	chr16	81035847	81047358	chr16:81035847	ATMIN	protein_coding	chr16	81035842	81047350	chr16:81035842	ENSG00000166454
ATN1	23.931471	24.29950170416	25.2095000348388	24.29950170416	ENSG00000111676	protein_coding	chr12	6924463	6942321	chr12:6924463	ATN1	protein_coding	chr12	6924463	6942321	chr12:6924463	ENSG00000111676
ATOX1	88.937692	90.97893	87.844087	88.937692	ENSG00000177556	protein_coding	chr5	151742316	151772532	chr5:151742316	ATOX1	protein_coding	chr5	151742316	151772532	chr5:151742316	ENSG00000177556
ATP10D	3.777319	3.59127	4.032743	3.777319	ENSG00000145246	protein_coding	chr4	47485288	47593486	chr4:47485288	ATP10D	protein_coding	chr4	47485275	47593486	chr4:47485275	ENSG00000145246
ATP11A	7.23544	7.18376	7.75677	7.23544	ENSG00000068650	protein_coding	chr13	112690329	112887168	chr13:112690329	ATP11A	protein_coding	chr13	112690038	112887168	chr13:112690038	ENSG00000068650
ATP11B	17.6331	17.4153	18.0839	17.6331	ENSG00000058063	protein_coding	chr3	182793500	182921635	chr3:182793500	ATP11B	protein_coding	chr3	182793503	182921629	chr3:182793503	ENSG00000058063
ATP11C	41.10454	40.26619	39.49226	40.26619	ENSG00000101974	protein_coding	chrX	139726346	139945276	chrX:139726346	ATP11C	protein_coding	chrX	139726346	139945276	chrX:139726346	ENSG00000101974
ATP13A1	21.89237	22.00755	22.36344	22.00755	ENSG00000105726	protein_coding	chr19	19645198	19663693	chr19:19645198	ATP13A1	protein_coding	chr19	19645198	19663676	chr19:19645198	ENSG00000105726
ATP13A2	18.589848	18.942324	18.07217	18.589848	ENSG00000159363	protein_coding	chr1	16985958	17011928	chr1:16985958	ATP13A2	protein_coding	chr1	16985958	17011928	chr1:16985958	ENSG00000159363
ATP13A3	37.057271	36.3792888	37.1024237	37.057271	ENSG00000133657	protein_coding	chr3	194402672	194498364	chr3:194402672	ATP13A3	protein_coding	chr3	194402672	194498364	chr3:194402672	ENSG00000133657
ATP1A1	372.9025	364.724445	369.557548	369.557548	ENSG00000163399	protein_coding	chr1	116372668	116410261	chr1:116372668	ATP1A1	protein_coding	chr1	116372668	116410261	chr1:116372668	ENSG00000163399
ATP1A1-AS1	1.087056	1.706145	1.98394	1.706145	ENSG00000203865	processed_transcript	chr1	116392247	116418622	chr1:116392247	ATP1A1-AS1	lncRNA	chr1	116378437	116421301	chr1:116378437	ENSG00000203865
ATP1A3	12.4282894383586	11.5691489	12.49508297634	12.4282894383586	ENSG00000105409	protein_coding	chr19	41966582	41997497	chr19:41966582	ATP1A3	protein_coding	chr19	41966582	41997497	chr19:41966582	ENSG00000105409
ATP1B1	24.83589	25.50902	23.32725	24.83589	ENSG00000143153	protein_coding	chr1	169105697	169132722	chr1:169105697	ATP1B1	protein_coding	chr1	169105697	169310992	chr1:169105697	ENSG00000143153
ATP1B2	3.52849	3.57963	3.11392	3.52849	ENSG00000129244	protein_coding	chr17	7646627	7657768	chr17:7646627	ATP1B2	protein_coding	chr17	7646627	7657770	chr17:7646627	ENSG00000129244
ATP1B3	238.7031	251.1357	241.1471	241.1471	ENSG00000069849	protein_coding	chr3	141876124	141926514	chr3:141876124	ATP1B3	protein_coding	chr3	141876124	141926549	chr3:141876124	ENSG00000069849
ATP2A1-AS1	24.5369	30.1561	23.1674	24.5369	ENSG00000260442	antisense	chr16	28878957	28879920	chr16:28878957	ATP2A1-AS1	lncRNA	chr16	28877938	28879938	chr16:28877938	ENSG00000260442
ATP2A2	150.863	146.015344	151.582262	150.863	ENSG00000174437	protein_coding	chr12	110280756	110351093	chr12:110280756	ATP2A2	protein_coding	chr12	110280756	110351093	chr12:110280756	ENSG00000174437
ATP2A3	1.1838439	1.223758	1.33676	1.223758	ENSG00000074370	protein_coding	chr17	3923870	3964464	chr17:3923870	ATP2A3	protein_coding	chr17	3923870	3964464	chr17:3923870	ENSG00000074370
ATP2B1	47.589844	50.196261	47.178369	47.589844	ENSG00000070961	protein_coding	chr12	89588049	89709300	chr12:89588049	ATP2B1	protein_coding	chr12	89588049	89709300	chr12:89588049	ENSG00000070961
ATP2B4	9.18589	8.987276	9.37044551	9.18589	ENSG00000058668	protein_coding	chr1	203626561	203744081	chr1:203626561	ATP2B4	protein_coding	chr1	203626787	203744081	chr1:203626787	ENSG00000058668
ATP2C1	48.2026994576058	46.872796	47.063119	47.063119	ENSG00000017260	protein_coding	chr3	130850595	131016712	chr3:130850595	ATP2C1	protein_coding	chr3	130850595	131016712	chr3:130850595	ENSG00000017260
ATP5A1	473.739599	462.4012075	468.8124223	468.8124223	ENSG00000152234	protein_coding	chr18	46080248	46104334	chr18:46080248	ATP5F1A	protein_coding	chr18	46080248	46104334	chr18:46080248	ENSG00000152234
ATP5B	876.478	863.492	878.909	876.478	ENSG00000110955	protein_coding	chr12	56638175	56646068	chr12:56638175	ATP5F1B	protein_coding	chr12	56638175	56645984	chr12:56638175	ENSG00000110955
ATP5C1	415.0849	408.1086	411.2264	411.2264	ENSG00000165629	protein_coding	chr10	7788129	7807815	chr10:7788129	ATP5F1C	protein_coding	chr10	7788147	7807815	chr10:7788147	ENSG00000165629
ATP5D	77.9634	92.53165	87.1275	87.1275	ENSG00000099624	protein_coding	chr19	1241746	1244826	chr19:1241746	ATP5F1D	protein_coding	chr19	1241746	1244825	chr19:1241746	ENSG00000099624
ATP5E	99.932317	96.821741	100.753854	99.932317	ENSG00000124172	protein_coding	chr20	59025467	59032382	chr20:59025467	ATP5F1E	protein_coding	chr20	59025475	59032345	chr20:59025475	ENSG00000124172
ATP5F1	673.7226	667.536	656.163	667.536	ENSG00000116459	protein_coding	chr1	111448864	111462773	chr1:111448864	ATP5PB	protein_coding	chr1	111448864	111462773	chr1:111448864	ENSG00000116459
