hek293t	hct116	mcf7	c42b	pct_peaks
PRKD3	0	1	0	1	0.5
DCAF17	0	0	0	1	0.25
QPCT	0	NA	NA	NA	0
RAB3GAP1	1	1	0	0	0.5
SLC25A12	1	1	1	1	1
RMDN2	1	1	1	1	1
DLX2	1	0	0	0	0.25
LCT	NA	NA	NA	NA	NA
DARS	0	0	0	0	0
SRSF7	1	1	1	0	0.75
SDC1	1	1	1	1	1
PLCL1	0	NA	NA	NA	0
SLC1A4	1	0	1	0	0.5
SOS1	1	1	1	1	1
KYNU	NA	NA	0	NA	0
RP11-153K16.2	NA	NA	NA	NA	NA
WIPF1	1	NA	1	NA	1
ORC2	1	1	1	1	1
COX7A2L	1	0	1	1	0.75
PNO1	1	1	1	1	1
ORC4	1	1	1	1	1
PLEK	NA	NA	NA	NA	NA
RND3	0	0	0	0	0
ATF2	0	0	0	0	0
THADA	1	1	1	1	1
AAK1	1	1	1	1	1
TRAK2	1	0	0	0	0.25
C2orf42	1	1	1	1	1
TIA1	1	1	1	1	1
PCYOX1	1	1	1	1	1
KISS1R	NA	1	NA	NA	1
EPAS1	1	1	1	0	0.75
ARID3A	0	0	0	0	0
SUMO1	1	1	1	1	1
CD207	0	NA	NA	NA	0
GRIN3B	NA	NA	NA	NA	NA
VAX2	1	NA	1	NA	1
ATP6V1B1	0	NA	0	NA	0
NFE2L2	0	1	1	0	0.5
MSH6	1	1	1	1	1
PLEKHA3	1	1	1	1	1
SPR	1	1	1	1	1
EPHA4	1	0	1	NA	0.666666666666667
PARD3B	1	NA	NA	1	1
FARSB	1	1	1	1	1
ALMS1	1	1	1	1	1
BCL9	1	0	1	1	0.75
PRRX1	1	NA	NA	NA	1
DHCR24	0	0	0	0	0
DNAJC16	1	1	1	1	1
MARK1	1	1	NA	NA	1
TNR	NA	NA	NA	NA	NA
MORN1	1	1	1	1	1
GPX7	NA	NA	NA	NA	NA
CACYBP	1	1	1	1	1
SCP2	0	0	1	1	0.5
TPSG1	NA	NA	NA	NA	NA
PAPPA2	NA	NA	NA	NA	NA
RALGPS2	1	1	1	0	0.75
ANGPTL1	NA	NA	NA	NA	NA
CEP104	1	1	1	1	1
FAM20B	1	1	1	1	1
TCEANC2	0	0	0	0	0
TMEM59	1	0	1	0	0.5
LRRC42	0	1	1	1	0.75
WRAP73	1	1	1	1	1
NPHS2	NA	NA	NA	NA	NA
MRPL37	1	1	1	1	1
ICMT	1	1	1	1	1
RPL22	1	1	1	1	1
CHD5	NA	0	0	NA	0
QSOX1	1	1	1	1	1
STXBP3	1	1	1	1	1
PHF13	1	1	1	1	1
ERRFI1	1	1	1	1	1
PARK7	1	1	1	1	1
KIAA1324	NA	NA	0	NA	0
OPRD1	NA	NA	NA	NA	NA
AMPD2	1	1	1	1	1
SRSF4	1	1	1	1	1
MECR	1	0	0	0	0.25
KCNC4	1	1	NA	NA	1
EDEM3	1	0	1	0	0.5
WDR77	1	0	0	1	0.5
ATP5F1	1	1	0	0	0.5
RAP1A	1	1	1	1	1
HDAC1	1	0	0	1	0.5
CAPZA1	0	0	0	0	0
S100PBP	1	0	0	0	0.25
RNF19B	1	1	1	1	1
SCAMP3	1	1	1	1	1
TRIM62	0	0	1	0	0.25
ASH1L	1	1	1	1	1
DLGAP3	NA	NA	NA	NA	NA
SFPQ	1	1	1	1	1
RHOU	1	1	0	1	0.75
GON4L	0	0	0	0	0
ARHGEF2	1	1	0	0	0.5
LAMTOR2	1	1	1	1	1
MEF2D	1	1	1	1	1
DOCK7	1	1	1	1	1
SRM	1	1	1	1	1
DLEU2L	0	NA	NA	NA	0
FBXO2	NA	1	1	0	0.666666666666667
FBXO6	NA	1	1	1	1
C1orf21	0	0	0	0	0
SWT1	0	0	0	0	0
MAD2L2	1	1	1	1	1
DNAJC6	1	1	1	NA	1
LEPR	0	1	1	0	0.5
IVNS1ABP	1	1	1	1	1
KIAA2013	1	1	1	1	1
MFN2	1	1	1	1	1
PRG4	NA	NA	NA	NA	NA
MIIP	1	1	1	1	1
SMG7	0	1	1	1	0.75
NCF2	NA	NA	NA	NA	NA
PDC	NA	NA	NA	NA	NA
SLC35D1	1	1	1	NA	1
PLA2G4A	0	0	NA	NA	0
GADD45A	1	1	1	1	1
PRAMEF1	NA	NA	NA	NA	NA
PRAMEF12	NA	NA	NA	NA	NA
WLS	1	0	0	0	0.25
PRDM2	1	1	1	1	1
RGS2	0	1	NA	0	0.333333333333333
RPE65	NA	NA	NA	NA	NA
TROVE2	0	1	1	1	0.75
AMPD1	NA	NA	NA	NA	NA
UCHL5	1	1	1	1	1
BCAS2	1	1	0	1	0.75
SRSF11	1	1	1	1	1
CTH	0	0	0	0	0
AGMAT	1	NA	0	NA	0.5
OLFML3	NA	NA	NA	NA	NA
TNNI3K	NA	NA	NA	NA	NA
CFHR3	0	NA	NA	NA	0
PLEKHM2	1	1	1	1	1
CRYZ	1	1	1	0	0.75
PHTF1	1	1	1	1	1
ZBTB17	1	1	0	1	0.75
CD58	1	1	1	1	1
TFAP2E	NA	0	NA	NA	0
CD2	NA	NA	NA	NA	NA
TTF2	1	1	1	1	1
NR5A2	0	NA	0	NA	0
KIF21B	NA	0	NA	NA	0
TMEM9	1	1	1	1	1
ADPRHL2	1	1	1	1	1
MAP7D1	0	1	1	1	0.75
WARS2	0	0	0	0	0
HAO2	NA	NA	NA	NA	NA
OSCP1	1	1	1	1	1
MRPS15	1	1	1	1	1
EXOC8	1	0	0	0	0.25
GNPAT	0	1	1	1	0.75
TSNAX	0	0	1	1	0.5
C1orf109	1	1	1	1	1
RRAGC	1	1	1	1	1
NID1	1	NA	NA	NA	1
LGALS8	1	1	1	0	0.75
NT5C1A	NA	NA	NA	NA	NA
HPCAL4	0	0	NA	NA	0
MTR	1	1	1	1	1
BMP8B	0	0	1	0	0.25
MYCL	0	1	0	1	0.5
SIPA1L2	1	0	0	0	0.25
ZP4	NA	NA	NA	NA	NA
RLF	1	1	1	1	1
KMO	NA	NA	NA	NA	NA
ZNF684	0	0	0	0	0
KCNQ4	1	1	NA	1	1
RIMS3	0	1	NA	NA	0.5
AKT3	1	NA	NA	NA	1
ETV3	1	1	1	1	1
ACADM	1	1	1	1	1
ST6GALNAC5	NA	NA	NA	NA	NA
SLAMF1	NA	NA	NA	NA	NA
CD48	NA	NA	NA	NA	NA
ADGRL2	1	NA	NA	0	0.5
PADI2	NA	0	NA	NA	0
SDHB	0	1	0	0	0.25
MFAP2	0	1	0	NA	0.333333333333333
RPF1	0	0	0	0	0
KDM5B	1	1	1	1	1
UAP1	1	1	0	1	0.75
ACTL8	NA	NA	NA	NA	NA
CTBS	1	1	1	1	1
RGS4	0	NA	NA	NA	0
KLHL12	1	1	0	0	0.5
IGSF21	NA	NA	NA	0	0
SSX2IP	0	0	0	1	0.25
ZNHIT6	1	1	1	1	1
PLA2G2D	NA	NA	NA	NA	NA
RBBP5	1	0	0	0	0.25
GBP3	NA	NA	NA	NA	NA
GBP1	NA	NA	NA	NA	NA
PINK1-AS	0	0	0	0	0
KIF17	1	NA	NA	NA	1
GPR89A	0	1	0	0	0.25
CDK18	1	0	0	0	0.25
RAB29	0	0	0	0	0
CD160	NA	NA	NA	0	0
ECE1	1	1	1	0	0.75
HMGCL	0	0	1	0	0.25
GALE	0	1	1	0	0.5
ID3	0	0	0	0	0
CR2	0	0	NA	NA	0
CD46	1	1	1	1	1
PRPF3	1	1	0	0	0.5
APH1A	1	1	1	1	1
P3H1	1	1	1	1	1
SLC2A1	1	1	1	1	1
EBNA1BP2	0	0	0	0	0
CDC20	1	0	0	0	0.25
MPL	NA	NA	NA	NA	NA
ARTN	NA	1	NA	1	1
IPO13	0	1	1	1	0.75
ATP6V0B	1	1	1	1	1
B4GALT2	1	1	1	1	1
ERI3	1	1	1	1	1
PTCH2	NA	NA	NA	0	0
AKR1A1	1	1	1	1	1
PRDX1	1	1	1	1	1
PIK3R3	0	NA	0	0	0
TSPAN1	NA	1	1	1	1
BLZF1	0	0	0	0	0
CCDC181	0	NA	NA	NA	0
SLC19A2	1	1	1	1	1
FAAH	NA	1	1	1	1
NSUN4	1	1	1	0	0.75
TMED5	0	1	0	1	0.5
MROH9	NA	NA	NA	NA	NA
DR1	0	0	0	0	0
CNN3	1	1	NA	NA	1
PRRC2C	1	1	1	1	1
F3	0	0	0	NA	0
ABCD3	1	1	1	1	1
VAMP4	1	1	1	1	1
DPH5	1	1	1	1	1
FASLG	NA	NA	NA	NA	NA
PTBP2	1	1	0	0	0.5
TNFSF4	NA	NA	NA	0	0
PRDX6	1	1	1	1	1
DARS2	0	0	0	0	0
HSD11B1	NA	NA	NA	NA	NA
IRF6	NA	1	1	1	1
DIEXF	1	1	0	0	0.5
PLPPR5	NA	NA	NA	NA	NA
PLPPR4	NA	NA	NA	NA	NA
SERPINC1	NA	NA	NA	NA	NA
RCAN3	0	0	1	0	0.25
SYF2	1	1	1	1	1
RSRP1	1	1	1	1	1
SLC35A3	1	1	1	1	1
RCOR3	1	1	1	1	1
STMN1	1	1	1	0	0.75
MTFR1L	0	1	1	0	0.5
MAN1C1	0	NA	0	NA	0
NEK2	0	1	0	1	0.5
RPS6KA1	0	1	0	1	0.5
DHDDS	0	0	0	0	0
NENF	1	1	1	1	1
NSL1	0	1	0	0	0.25
PROX1	1	NA	NA	NA	1
ARID1A	1	1	1	1	1
CENPF	1	1	1	1	1
RPA2	1	0	0	0	0.25
PPP1R8	1	1	1	1	1
STX12	1	1	1	1	1
MARC2	1	1	1	1	1
SLC5A9	NA	NA	NA	NA	NA
OSBPL9	1	1	0	0	0.5
TXNDC12	1	1	1	1	1
ESYT2	1	1	1	1	1
CD3EAP	0	0	0	0	0
MESDC2	1	1	1	1	1
RCN2	1	1	1	1	1
CHRNB4	NA	NA	NA	NA	NA
MUC5B	NA	NA	1	NA	1
CTSD	0	1	1	0	0.5
COLEC11	1	NA	NA	NA	1
STAG1	1	1	1	1	1
A4GNT	NA	NA	NA	NA	NA
STK11	1	1	1	1	1
KMT2A	1	1	1	1	1
TREH	NA	NA	NA	NA	NA
IFT46	1	1	0	1	0.75
MMP8	NA	NA	NA	NA	NA
APOA1	NA	NA	NA	NA	NA
ZNF541	NA	NA	NA	NA	NA
SLC8A2	NA	NA	NA	NA	NA
KPTN	1	1	1	0	0.75
RPS25	1	1	1	1	1
KIF14	1	1	0	1	0.75
TNNT2	NA	NA	NA	NA	NA
DDX59	0	0	0	0	0
CAMSAP2	1	1	1	1	1
ATF6	0	0	0	0	0
CRYGD	1	NA	NA	NA	1
MREG	1	1	1	1	1
TNP1	NA	NA	NA	NA	NA
FASTKD2	1	0	1	1	0.75
NRP2	1	NA	NA	NA	1
CREB1	1	1	1	1	1
KLF7	0	0	1	0	0.25
TTR	NA	NA	NA	NA	NA
B4GALT6	1	1	1	1	1
C1orf54	0	NA	0	0	0
CA14	NA	NA	NA	NA	NA
CASC1	NA	NA	NA	NA	NA
LRMP	NA	NA	NA	NA	NA
ATP10B	NA	NA	NA	NA	NA
SPCS2	0	0	0	0	0
USP35	1	1	0	1	0.75
ELOVL4	1	NA	1	NA	1
FILIP1	NA	NA	NA	NA	NA
CASP8AP2	1	1	1	0	0.75
HMGN3	0	0	0	0	0
UBE3D	0	0	0	0	0
CNR1	NA	NA	NA	NA	NA
SPACA1	NA	NA	NA	NA	NA
ANKRD13C	1	1	1	1	1
SGIP1	NA	NA	NA	NA	NA
PHF3	1	1	1	1	1
ZC2HC1B	NA	NA	NA	NA	NA
ADGB	NA	NA	NA	NA	NA
PLAGL1	1	1	NA	NA	1
FBXO30	1	1	1	1	1
TNFAIP3	1	1	1	NA	1
AKAP7	1	1	1	1	1
RAB32	1	NA	1	1	1
MYB	0	1	1	0	0.5
ALDH8A1	NA	NA	NA	NA	NA
SGK1	1	1	1	1	1
RNF146	1	1	1	1	1
ARG1	NA	NA	NA	NA	NA
CTGF	0	1	0	NA	0.333333333333333
TCF21	NA	NA	NA	NA	NA
PMFBP1	NA	0	NA	NA	0
FBXL5	1	1	1	1	1
MED28	1	0	0	0	0.25
SLC16A7	NA	1	0	0	0.333333333333333
TMEM5	1	1	1	1	1
ZNF430	1	1	1	1	1
VAMP8	0	0	0	0	0
DCLRE1B	1	1	0	1	0.75
MYL12B	0	1	1	1	0.75
FOXO3	1	0	0	0	0.25
ARMC2	1	1	NA	NA	1
GHRH	NA	NA	NA	NA	NA
RPN2	0	1	1	1	0.75
TGIF2	1	1	0	0	0.5
CASQ2	NA	NA	NA	NA	NA
OLFM3	NA	NA	NA	NA	NA
PKD2	1	1	1	1	1
ABCG2	1	NA	0	NA	0.5
SPP1	NA	0	NA	NA	0
STBD1	1	1	1	1	1
CCNI	1	1	1	1	1
RARRES1	NA	NA	NA	NA	NA
MFSD1	1	1	1	1	1
RAB3GAP2	1	1	1	0	0.75
EEF2KMT	0	0	0	0	0
PPL	NA	1	1	0	0.666666666666667
UBN1	1	1	1	1	1
KLF12	0	0	NA	NA	0
UCHL3	0	0	0	0	0
PCDH17	0	NA	NA	NA	0
HS1BP3	1	1	1	0	0.75
LDAH	1	1	1	1	1
WDR35	1	0	1	0	0.5
CCND2	0	NA	NA	NA	0
FGF23	0	NA	0	0	0
ELL2	0	1	1	1	0.75
DNAH7	NA	NA	NA	NA	NA
CYP20A1	1	1	1	1	1
NDUFB3	0	1	1	0	0.5
GTF3C3	1	1	1	1	1
SATB2	1	1	1	1	1
UBE2B	1	1	1	1	1
TRPM6	NA	NA	NA	NA	NA
GDA	NA	1	NA	NA	1
KLF9	0	0	0	0	0
TJP2	1	0	1	1	0.75
C2orf40	NA	NA	NA	NA	NA
ITGB1BP1	1	1	1	1	1
CPSF3	0	0	0	0	0
PIGZ	NA	NA	1	NA	1
SENP5	1	1	1	1	1
CCDC92	1	1	0	1	0.75
C1orf198	1	1	1	1	1
TRIM67	NA	NA	NA	NA	NA
HEATR1	1	0	0	0	0.25
PTBP3	1	1	1	1	1
RAD23B	1	1	1	1	1
FKBP15	1	1	1	1	1
CTNNAL1	1	1	1	1	1
FAM206A	0	0	0	0	0
WDR34	1	1	1	1	1
SET	1	1	1	1	1
PPP2R4	1	1	1	1	1
GLE1	1	1	1	1	1
RAB14	1	1	1	1	1
CNTRL	1	1	1	1	1
TRIM32	0	0	0	0	0
FBXW2	1	1	1	1	1
PHF19	0	1	1	1	0.75
NEK6	1	1	1	1	1
BSPRY	0	1	1	1	0.75
PPP6C	1	1	1	1	1
NDUFA8	1	1	1	1	1
HDHD3	1	1	1	1	1
RBM18	0	0	0	1	0.25
SLC46A2	NA	NA	NA	NA	NA
HSDL2	0	0	0	1	0.25
MAPKAP1	1	1	1	1	1
NR4A3	0	NA	0	NA	0
INVS	0	0	0	1	0.25
GALNT12	1	1	1	NA	1
DENND1A	1	1	1	1	1
ALG2	1	1	1	1	1
CSF3R	NA	NA	NA	NA	NA
KDSR	1	1	1	1	1
VPS4B	1	1	1	1	1
ONECUT2	0	0	0	0	0
C19orf25	0	1	0	0	0.25
ZBTB45	1	1	1	1	1
YLPM1	1	1	1	1	1
DCAF4	1	1	1	1	1
PROX2	NA	NA	NA	0	0
VSX2	NA	NA	NA	NA	NA
FCF1	0	0	0	0	0
PGF	0	0	NA	NA	0
IFI27L2	0	0	0	NA	0
BBOF1	0	0	0	0	0
NEK9	1	1	1	1	1
ACYP1	0	1	0	1	0.5
IFT43	1	1	1	1	1
NPC2	1	0	1	1	0.75
DNAL1	1	1	0	0	0.5
IRF2BPL	1	1	1	1	1
ACOT2	1	NA	1	1	1
LTBP2	NA	NA	NA	NA	NA
AREL1	1	0	0	1	0.5
MLH3	0	1	1	1	0.75
TTLL5	0	0	1	0	0.25
FLVCR2	0	NA	1	0	0.333333333333333
ABCD4	1	1	1	1	1
DLST	1	1	1	1	1
PPP4R4	0	1	NA	NA	0.5
TGFB3	1	NA	1	NA	1
ZC2HC1C	1	NA	NA	1	1
SLIRP	0	0	0	0	0
RBM25	1	1	1	1	1
ALDH6A1	1	0	0	1	0.5
GPR68	NA	NA	1	NA	1
ESRRB	0	NA	NA	NA	0
EIF2B2	1	1	1	1	1
NRDE2	1	1	1	1	1
COQ6	1	1	1	1	1
ZNF410	1	1	1	1	1
RHOQ	0	0	0	0	0
GPR75	0	NA	0	0	0
SUPT7L	0	0	0	0	0
KLHL29	0	1	NA	1	0.666666666666667
DNMT3A	0	1	1	1	0.75
TMEM214	1	1	1	1	1
ATAD2B	1	1	1	1	1
FKBP1B	1	0	NA	NA	0.5
ATL2	1	1	1	1	1
YPEL5	1	1	1	1	1
FAM98A	0	0	0	0	0
YIPF4	1	1	1	1	1
AFTPH	1	1	1	1	1
LGALSL	1	1	1	1	1
CNRIP1	1	NA	NA	NA	1
BCL11A	1	NA	NA	NA	1
CRIPT	1	1	1	0	0.75
EPCAM	0	1	1	1	0.75
SLC17A5	1	0	0	0	0.25
OGFRL1	1	1	1	1	1
SLF2	1	1	1	0	0.75
IDE	1	1	1	1	1
TECTB	NA	NA	NA	NA	NA
ELOVL3	NA	1	NA	NA	1
IFIT3	NA	NA	NA	NA	NA
NKX2-3	NA	NA	NA	NA	NA
IFIT2	NA	NA	NA	NA	NA
GPAM	1	1	1	1	1
CUTC	1	1	0	0	0.5
PPP1R3C	NA	NA	0	NA	0
PYROXD2	NA	1	1	1	1
CNNM1	1	NA	1	1	1
MXI1	1	1	0	0	0.5
SMNDC1	1	1	1	1	1
C10orf88	1	1	1	1	1
HELLS	1	1	0	0	0.5
PRLHR	NA	NA	NA	NA	NA
TCTN3	1	1	1	1	1
FAM45A	1	1	1	1	1
AVPI1	1	1	1	1	1
WDR11	1	0	1	1	0.75
C10orf76	1	1	1	1	1
KCNIP2	NA	1	NA	0	0.5
CFAP58	NA	NA	NA	NA	NA
GOT1	0	0	0	1	0.25
CPN1	NA	NA	NA	NA	NA
C10orf95	NA	NA	0	0	0
SFRP5	NA	NA	NA	NA	NA
GNA13	1	1	1	1	1
HOXB8	1	1	NA	NA	1
KANSL1	1	1	1	1	1
HOXB5	1	0	NA	NA	0.5
CRHR1	NA	NA	NA	NA	NA
HOXB3	1	1	NA	NA	1
HOXB1	NA	NA	NA	NA	NA
DUSP1	1	1	1	1	1
PANK3	1	1	1	1	1
MSX2	1	1	1	1	1
TEK	NA	NA	NA	NA	NA
RCL1	0	1	1	1	0.75
CAAP1	0	0	0	0	0
EQTN	NA	NA	NA	NA	NA
MOB3B	1	NA	NA	NA	1
INSL6	NA	NA	NA	NA	NA
INSL4	NA	NA	NA	NA	NA
MLANA	NA	NA	NA	0	0
CD274	NA	0	NA	NA	0
IFNA6	NA	NA	NA	NA	NA
IFNA8	NA	NA	NA	NA	NA
GRIA2	NA	NA	NA	NA	NA
NUP43	1	1	1	1	1
MTHFD1L	1	1	1	1	1
LRP11	0	0	0	1	0.25
CCDC170	NA	NA	1	NA	1
PCMT1	1	1	1	1	1
PLEKHG1	1	1	NA	NA	1
MYCT1	NA	NA	NA	NA	NA
CXorf21	NA	NA	NA	NA	NA
MAGEB4	NA	NA	NA	NA	NA
CYSTM1	1	1	0	0	0.5
WDR55	1	1	1	1	1
ARAP3	NA	1	NA	NA	1
PCDHB8	NA	NA	0	NA	0
PCDHB10	NA	NA	0	NA	0
PCDHB14	NA	NA	0	NA	0
PCDHB12	NA	NA	NA	NA	NA
SLC25A2	NA	NA	NA	NA	NA
TNN	NA	NA	NA	NA	NA
MRPS14	1	1	1	1	1
CENPL	1	1	1	1	1
TNFSF18	NA	NA	NA	NA	NA
SEC16B	NA	NA	NA	NA	NA
GORAB	0	0	0	0	0
GPR31	NA	NA	NA	NA	NA
ACAT2	0	0	0	0	0
TCP1	1	1	0	1	0.75
TTLL2	NA	NA	NA	NA	NA
SNX19	NA	1	1	1	1
KCNJ5	NA	NA	NA	NA	NA
MSANTD2	1	1	1	1	1
TP53AIP1	NA	NA	NA	NA	NA
TEX11	NA	NA	NA	NA	NA
ARR3	NA	NA	NA	NA	NA
PDZD11	0	0	0	0	0
SLC10A7	1	1	1	0	0.75
NUDCD1	1	0	0	1	0.5
ENY2	0	1	1	1	0.75
MASTL	1	1	0	0	0.5
KIAA1217	NA	0	0	1	0.333333333333333
LYZL1	NA	NA	NA	NA	NA
PLXDC2	1	NA	1	1	1
EPC1	0	1	1	1	0.75
IQSEC3	NA	NA	NA	NA	NA
CCDC77	1	0	0	0	0.25
TAF12	1	1	1	1	1
ENOX1	0	0	NA	0	0
TNFSF11	NA	NA	NA	NA	NA
MTRF1	0	0	0	0	0
SPG20-AS1	0	NA	NA	NA	0
SOHLH2	NA	NA	NA	1	1
DNAJC15	NA	1	1	NA	1
PROSER1	1	1	1	1	1
UFM1	0	1	1	1	0.75
WBP4	0	0	0	0	0
ELF1	1	1	1	1	1
SMAD9	1	1	NA	1	1
HSPH1	1	1	1	1	1
KBTBD7	1	1	1	1	1
ALG5	1	1	0	1	0.75
EXOSC8	1	1	0	0	0.5
ETF1	1	1	1	1	1
TGFBI	NA	NA	0	NA	0
FAM53C	1	1	1	1	1
SIL1	1	1	1	1	1
PAIP2	1	1	1	0	0.75
MYOT	NA	NA	NA	NA	NA
KDM3B	1	1	1	1	1
EGR1	NA	1	1	NA	1
SERP1	1	1	1	1	1
PLS1	0	0	0	0	0
ZFP30	1	1	1	1	1
NR2C1	1	1	1	1	1
UTP20	0	0	0	0	0
TMPO	1	1	1	0	0.75
ARL1	1	1	1	1	1
GLT8D2	0	0	NA	NA	0
MTERF2	1	1	1	1	1
SOCS2	1	1	1	1	1
NFYB	1	1	1	1	1
CCDC53	0	1	1	0	0.5
APAF1	1	1	1	0	0.75
DUSP4	NA	1	1	1	1
CLU	0	1	0	0	0.25
TNFRSF10B	1	1	1	0	0.75
SORBS3	1	1	1	1	1
PTK2B	NA	0	0	0	0
CHRNA2	NA	NA	NA	0	0
ADRA1A	NA	NA	NA	NA	NA
PPP3CC	1	1	1	1	1
PDLIM2	0	1	1	1	0.75
EPHX2	0	1	1	1	0.75
RNF170	1	1	1	1	1
NPPB	NA	NA	NA	NA	NA
UBIAD1	1	1	1	1	1
TARDBP	1	1	1	1	1
TNFRSF8	NA	NA	NA	NA	NA
PRAMEF2	NA	NA	NA	NA	NA
ZNF706	1	1	1	1	1
LYPLA1	1	1	0	1	0.75
CRISPLD1	0	NA	NA	NA	0
COPS5	1	1	1	1	1
RDH10	1	1	1	1	1
EPX	NA	NA	NA	NA	NA
AKAP1	1	1	1	1	1
COIL	1	1	1	1	1
TRIM25	1	1	1	1	1
SCPEP1	0	0	1	0	0.25
SPOP	0	0	0	0	0
TBX2	0	NA	0	NA	0
SLC35B1	1	1	1	1	1
TBX4	NA	NA	NA	NA	NA
TEX14	NA	NA	NA	NA	NA
FAM117A	1	0	0	1	0.5
NCAPH	1	1	1	1	1
LRAT	NA	0	NA	NA	0
KIAA0922	1	1	0	0	0.5
MND1	1	1	1	1	1
TRIM6	0	0	NA	NA	0
ABCC11	NA	NA	NA	NA	NA
PAPD5	1	1	1	1	1
ADCY7	0	1	NA	1	0.666666666666667
CEP89	1	1	1	1	1
TSHZ3	1	NA	NA	NA	1
ECHDC2	1	1	1	1	1
TAS2R8	NA	NA	NA	NA	NA
PLBD1	NA	NA	1	NA	1
TAS2R10	NA	NA	NA	NA	NA
PRB2	NA	NA	NA	NA	NA
PYROXD1	1	1	1	1	1
IAPP	NA	NA	NA	NA	NA
KCNJ8	0	NA	NA	NA	0
TAS2R7	NA	NA	NA	NA	NA
BCL2L14	NA	NA	NA	0	0
TAS2R9	NA	NA	NA	NA	NA
PSPC1	1	1	0	1	0.75
ZNF549	0	NA	0	0	0
A1BG	1	NA	NA	1	1
ZSCAN18	NA	NA	0	NA	0
ZNF211	0	0	0	0	0
PDZRN3	0	NA	0	0	0
RGSL1	NA	NA	NA	NA	NA
LHX4	1	NA	1	1	1
RNF2	1	1	1	1	1
TRMT1L	1	1	1	1	1
SEC22A	0	0	1	0	0.25
CSTA	NA	0	NA	0	0
DPPA4	NA	NA	NA	NA	NA
POPDC2	NA	NA	NA	NA	NA
B4GALT4	1	1	1	1	1
NAA50	1	1	1	1	1
CD80	NA	NA	NA	NA	NA
KIF18A	1	1	1	0	0.75
GJA8	NA	NA	NA	NA	NA
DESI2	1	1	1	1	1
MAPK8IP1	0	0	0	0	0
CRY2	1	1	1	1	1
PEX16	0	0	0	0	0
DEPDC7	1	1	NA	NA	1
CAT	1	1	1	1	1
PILRB	0	0	0	0	0
ZMYM2	1	1	1	1	1
GJB6	NA	NA	NA	NA	NA
GJA3	0	1	NA	NA	0.5
TBC1D15	1	1	1	1	1
ADGRB2	0	1	NA	0	0.333333333333333
HCRTR1	NA	NA	NA	NA	NA
ZCCHC17	1	1	0	1	0.75
FABP3	0	NA	NA	0	0
KHDRBS1	1	1	1	1	1
TMEM39B	1	1	1	1	1
CCRL2	NA	NA	NA	NA	NA
CCR2	NA	NA	NA	NA	NA
POLR3GL	0	0	0	0	0
GHSR	NA	NA	NA	NA	NA
TNFSF10	NA	NA	0	0	0
ZNF639	1	1	1	1	1
SLITRK3	0	NA	NA	NA	0
PIK3CA	1	1	1	1	1
PDS5A	1	1	1	1	1
TMEM156	NA	NA	NA	NA	NA
LIAS	0	0	0	0	0
CPXM2	NA	NA	NA	NA	NA
TMEM54	1	1	0	1	0.75
ZSCAN20	1	1	0	0	0.5
CSMD2	NA	NA	NA	NA	NA
HPCA	NA	NA	NA	NA	NA
LRIF1	0	0	0	0	0
TMIGD3	NA	NA	NA	NA	NA
CLCC1	1	1	1	1	1
GPSM2	0	0	0	0	0
GTDC1	1	1	0	0	0.5
CXCR4	0	NA	0	NA	0
ZRANB3	1	1	1	1	1
ACVR2A	1	1	1	1	1
POLK	1	1	1	1	1
SV2C	NA	NA	NA	NA	NA
FLT3	NA	NA	NA	NA	NA
RPL21	0	1	1	1	0.75
MTIF3	1	1	1	1	1
GTF3A	1	1	1	1	1
RASL11A	1	1	NA	1	1
UBL3	1	1	1	1	1
LINC00544	NA	NA	NA	NA	NA
FYTTD1	0	0	0	1	0.25
MTERF4	1	1	1	1	1
XPNPEP2	NA	NA	NA	NA	NA
SASH3	NA	NA	NA	NA	NA
OCRL	1	1	1	1	1
PAEP	NA	NA	NA	NA	NA
OBP2A	NA	NA	NA	NA	NA
MRPS2	0	0	0	0	0
TBX22	NA	NA	NA	NA	NA
FMOD	NA	NA	NA	NA	NA
MYOG	NA	NA	NA	NA	NA
LAX1	NA	NA	NA	NA	NA
PLG	NA	NA	NA	NA	NA
KIAA1191	1	1	1	1	1
COPA	1	1	1	1	1
CD244	NA	NA	NA	NA	NA
LY9	NA	NA	NA	NA	NA
HS3ST2	NA	NA	NA	NA	NA
RBBP6	1	1	1	1	1
ZC3H7A	1	1	1	0	0.75
PRM2	NA	NA	NA	NA	NA
SERAC1	1	1	1	1	1
ANXA11	1	1	1	1	1
LDB3	NA	NA	NA	NA	NA
OPN4	NA	NA	NA	NA	NA
FAM35A	1	1	1	1	1
FAM213A	1	1	1	0	0.75
ZNF205	0	0	0	0	0
NAA60	1	1	1	1	1
RPL5	1	1	1	1	1
ODF2L	1	1	0	0	0.5
PTGFR	NA	NA	NA	0	0
SPATA1	NA	0	NA	0	0
TRMT13	0	0	0	1	0.25
LRRC39	0	NA	NA	0	0
RWDD3	0	1	1	1	0.75
ZNF644	1	1	1	1	1
CCDC18	1	1	1	1	1
RPAP2	1	1	1	1	1
PQLC1	1	1	0	1	0.75
BBS9	1	1	0	0	0.5
PMS2	0	0	0	0	0
ZMIZ2	0	1	0	1	0.5
OCM	NA	NA	NA	NA	NA
SEPT7	1	1	1	1	1
EEPD1	0	1	NA	1	0.666666666666667
KIAA0087	NA	NA	NA	NA	NA
KLHL7	0	1	0	0	0.25
HERPUD2	1	1	1	1	1
