Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84.x	gene_type.84.x	chr.x	start.x	stop.x	loc.84.x	gene_name.107.x	gene_type.107.x	chr.107.x	start.107.x	stop.107.x	loc.107.x	gene_id.107.x	gene_id.84.y	gene_type.84.y	chr.y	start.y	stop.y	loc.84.y	gene_name.107.y	gene_type.107.y	chr.107.y	start.107.y	stop.107.y	loc.107.y	gene_id.107.y
CDK2AP2	2233.92803009354	0.791489896837666	0.228204735175002	3.46833248762652	0.000523698907861559	0.0108319018712373	ENSG00000167797	protein_coding	chr11	67506497	67508649	chr11:67506497	CDK2AP2	protein_coding	chr11	67506497	67508649	chr11:67506497	ENSG00000167797	ENSG00000167797	protein_coding	chr11	67506497	67508649	chr11:67506497	CDK2AP2	protein_coding	chr11	67506497	67508649	chr11:67506497	ENSG00000167797
CDK6	454.817765868678	1.06750521928101	0.259134571525627	4.11950135790908	3.7969318708308e-05	0.0012196848188423	ENSG00000105810	protein_coding	chr7	92604921	92836594	chr7:92604921	CDK6	protein_coding	chr7	92604921	92836573	chr7:92604921	ENSG00000105810	ENSG00000105810	protein_coding	chr7	92604921	92836594	chr7:92604921	CDK6	protein_coding	chr7	92604921	92836573	chr7:92604921	ENSG00000105810
CDKN1A	3260.30003955895	0.819295224488139	0.190486539405646	4.30106624354926	1.69978232418068e-05	0.000598392756981974	ENSG00000124762	protein_coding	chr6	36676460	36687339	chr6:36676460	CDKN1A	protein_coding	chr6	36676460	36687337	chr6:36676460	ENSG00000124762	ENSG00000124762	protein_coding	chr6	36676460	36687339	chr6:36676460	CDKN1A	protein_coding	chr6	36676460	36687337	chr6:36676460	ENSG00000124762
CDON	385.546657343212	-1.0123907911094	0.283909771277341	-3.56588921386729	0.000362624545355722	0.00799907085343505	ENSG00000064309	protein_coding	chr11	125955796	126063335	chr11:125955796	CDON	protein_coding	chr11	125955796	126063335	chr11:125955796	ENSG00000064309	ENSG00000064309	protein_coding	chr11	125955796	126063335	chr11:125955796	CDON	protein_coding	chr11	125955796	126063335	chr11:125955796	ENSG00000064309
CDR2	616.985718961798	0.760768177653627	0.227523278364785	3.34369381067856	0.000826709257160077	0.0157703852916258	ENSG00000140743	protein_coding	chr16	22345936	22437165	chr16:22345936	CDR2	protein_coding	chr16	22345936	22437165	chr16:22345936	ENSG00000140743	ENSG00000140743	protein_coding	chr16	22345936	22437165	chr16:22345936	CDR2	protein_coding	chr16	22345936	22437165	chr16:22345936	ENSG00000140743
CDYL2	1066.89730564343	1.52678846736542	0.212932593287097	7.17029010822618	7.4839004207261e-13	8.43773086650492e-11	ENSG00000166446	protein_coding	chr16	80597906	80804329	chr16:80597906	CDYL2	protein_coding	chr16	80597907	80804598	chr16:80597907	ENSG00000166446	ENSG00000166446	protein_coding	chr16	80597906	80804329	chr16:80597906	CDYL2	protein_coding	chr16	80597907	80804598	chr16:80597907	ENSG00000166446
CENPN	2636.12198055059	1.70185965125872	0.19607426779555	8.67966852760752	3.9692391928145e-18	7.78061091773297e-16	ENSG00000166451	protein_coding	chr16	81006498	81033114	chr16:81006498	CENPN	protein_coding	chr16	81006552	81033114	chr16:81006552	ENSG00000166451	ENSG00000166451	protein_coding	chr16	81006498	81033114	chr16:81006498	CENPN	protein_coding	chr16	81006552	81033114	chr16:81006552	ENSG00000166451
CERS4	638.709658423357	-0.800508124848232	0.228991197369927	-3.49580304414515	0.000472637423581138	0.00997918672799833	ENSG00000090661	protein_coding	chr19	8206736	8262421	chr19:8206736	CERS4	protein_coding	chr19	8206736	8262421	chr19:8206736	ENSG00000090661	ENSG00000090661	protein_coding	chr19	8206736	8262421	chr19:8206736	CERS4	protein_coding	chr19	8206736	8262421	chr19:8206736	ENSG00000090661
CFAP69	312.713121275737	1.14209450282093	0.264926875223945	4.31098015954593	1.62532490039863e-05	0.000575622915650152	ENSG00000105792	protein_coding	chr7	90245174	90311063	chr7:90245174	CFAP69	protein_coding	chr7	90245174	90311063	chr7:90245174	ENSG00000105792	ENSG00000105792	protein_coding	chr7	90245174	90311063	chr7:90245174	CFAP69	protein_coding	chr7	90245174	90311063	chr7:90245174	ENSG00000105792
CHKA	1567.52497559452	1.24249360863226	0.20490513270301	6.06375053783125	1.32983366419386e-09	1.00612415383088e-07	ENSG00000110721	protein_coding	chr11	68052859	68121444	chr11:68052859	CHKA	protein_coding	chr11	68052859	68121444	chr11:68052859	ENSG00000110721	ENSG00000110721	protein_coding	chr11	68052859	68121444	chr11:68052859	CHKA	protein_coding	chr11	68052859	68121444	chr11:68052859	ENSG00000110721
CHRNA2	429.733424370597	3.84911121465277	0.285517997420195	13.4811509236949	2.01932087235749e-41	2.17708031551042e-38	ENSG00000120903	protein_coding	chr8	27459761	27479883	chr8:27459761	CHRNA2	protein_coding	chr8	27459756	27479883	chr8:27459756	ENSG00000120903	ENSG00000120903	protein_coding	chr8	27459761	27479883	chr8:27459761	CHRNA2	protein_coding	chr8	27459756	27479883	chr8:27459756	ENSG00000120903
CHST2	345.888943467025	1.53782311629892	0.262223100967908	5.86456002778766	4.50325163936541e-09	3.04631728545307e-07	ENSG00000175040	protein_coding	chr3	143119331	143124014	chr3:143119331	CHST2	protein_coding	chr3	143119771	143124014	chr3:143119771	ENSG00000175040	ENSG00000175040	protein_coding	chr3	143119331	143124014	chr3:143119331	CHST2	protein_coding	chr3	143119771	143124014	chr3:143119771	ENSG00000175040
CITED2	10852.5760132629	0.952561161737581	0.182040360983549	5.23269211613826	1.67058873465907e-07	9.17759734804742e-06	ENSG00000164442	protein_coding	chr6	139371807	139374620	chr6:139371807	CITED2	protein_coding	chr6	139371807	139374648	chr6:139371807	ENSG00000164442	ENSG00000164442	protein_coding	chr6	139371807	139374620	chr6:139371807	CITED2	protein_coding	chr6	139371807	139374648	chr6:139371807	ENSG00000164442
CLDN12	3383.74429133081	1.02391696350293	0.191976582366876	5.33355136797974	9.63103014560117e-08	5.50116788117948e-06	ENSG00000157224	protein_coding	chr7	90383721	90513402	chr7:90383721	CLDN12	protein_coding	chr7	90383721	90513402	chr7:90383721	ENSG00000157224	ENSG00000157224	protein_coding	chr7	90383721	90513402	chr7:90383721	CLDN12	protein_coding	chr7	90383721	90513402	chr7:90383721	ENSG00000157224
CMBL	2076.53147886767	-0.724275273526206	0.210391114987743	-3.4425183476422	0.000576324768428967	0.0117097788638394	ENSG00000164237	protein_coding	chr5	10275875	10308026	chr5:10275875	CMBL	protein_coding	chr5	10275875	10307902	chr5:10275875	ENSG00000164237	ENSG00000164237	protein_coding	chr5	10275875	10308026	chr5:10275875	CMBL	protein_coding	chr5	10275875	10307902	chr5:10275875	ENSG00000164237
CMC2	1852.7708140448	0.966435322922388	0.249241517533552	3.87750537103952	0.000105532998538975	0.00281366959010405	ENSG00000103121	protein_coding	chr16	80966448	81020270	chr16:80966448	CMC2	protein_coding	chr16	80966448	81020270	chr16:80966448	ENSG00000103121	ENSG00000103121	protein_coding	chr16	80966448	81020270	chr16:80966448	CMC2	protein_coding	chr16	80966448	81020270	chr16:80966448	ENSG00000103121
CMPK2	199.043456376831	-1.15517083395296	0.300712232888444	-3.84144942444525	0.000122309939292094	0.0031852928359167	ENSG00000134326	protein_coding	chr2	6840570	6866635	chr2:6840570	CMPK2	protein_coding	chr2	6840570	6866635	chr2:6840570	ENSG00000134326	ENSG00000134326	protein_coding	chr2	6840570	6866635	chr2:6840570	CMPK2	protein_coding	chr2	6840570	6866635	chr2:6840570	ENSG00000134326
CNDP2	16534.284714137	1.03886548816084	0.181365197633054	5.72803107607624	1.0160295730189e-08	6.6640722945156e-07	ENSG00000133313	protein_coding	chr18	74495816	74523454	chr18:74495816	CNDP2	protein_coding	chr18	74495816	74523454	chr18:74495816	ENSG00000133313	ENSG00000133313	protein_coding	chr18	74495816	74523454	chr18:74495816	CNDP2	protein_coding	chr18	74495816	74523454	chr18:74495816	ENSG00000133313
CNKSR2	707.876017638229	1.18743912976408	0.22860187413019	5.19435430825833	2.05431575924953e-07	1.10740458897045e-05	ENSG00000149970	protein_coding	chrX	21374418	21654695	chrX:21374418	CNKSR2	protein_coding	chrX	21372801	21654695	chrX:21372801	ENSG00000149970	ENSG00000149970	protein_coding	chrX	21374418	21654695	chrX:21374418	CNKSR2	protein_coding	chrX	21372801	21654695	chrX:21372801	ENSG00000149970
CNKSR3	758.398822447816	-1.06166290667513	0.220702434433208	-4.81038149579824	1.50642495606689e-06	7.11940561428875e-05	ENSG00000153721	protein_coding	chr6	154159828	154510659	chr6:154159828	CNKSR3	protein_coding	chr6	154387515	154510685	chr6:154387515	ENSG00000153721	ENSG00000153721	protein_coding	chr6	154159828	154510659	chr6:154159828	CNKSR3	protein_coding	chr6	154387515	154510685	chr6:154387515	ENSG00000153721
COG3	1075.43817210981	0.613673664639548	0.207659689784719	2.95518916201668	0.00312477397108302	0.0447322414947569	ENSG00000136152	protein_coding	chr13	45464898	45536630	chr13:45464898	COG3	protein_coding	chr13	45464898	45536701	chr13:45464898	ENSG00000136152	ENSG00000136152	protein_coding	chr13	45464898	45536630	chr13:45464898	COG3	protein_coding	chr13	45464898	45536701	chr13:45464898	ENSG00000136152
COL2A1	175.483782616893	-0.963368723307042	0.318298559192545	-3.02661980547729	0.00247304796673384	0.0371215260367856	ENSG00000139219	protein_coding	chr12	47972965	48004486	chr12:47972965	COL2A1	protein_coding	chr12	47972967	48004554	chr12:47972967	ENSG00000139219	ENSG00000139219	protein_coding	chr12	47972965	48004486	chr12:47972965	COL2A1	protein_coding	chr12	47972967	48004554	chr12:47972967	ENSG00000139219
COLEC12	180.834763458425	-1.53550993249555	0.315415012642723	-4.86822082319477	1.1260746060895e-06	5.3808274113695e-05	ENSG00000158270	protein_coding	chr18	316740	500722	chr18:316740	COLEC12	protein_coding	chr18	316737	500722	chr18:316737	ENSG00000158270	ENSG00000158270	protein_coding	chr18	316740	500722	chr18:316740	COLEC12	protein_coding	chr18	316737	500722	chr18:316737	ENSG00000158270
COPG1	9682.61070784957	0.803051499876494	0.194962272940455	4.11900973334343	3.80504076266041e-05	0.00122001771665227	ENSG00000181789	protein_coding	chr3	129249606	129277773	chr3:129249606	COPG1	protein_coding	chr3	129249606	129277773	chr3:129249606	ENSG00000181789	ENSG00000181789	protein_coding	chr3	129249606	129277773	chr3:129249606	COPG1	protein_coding	chr3	129249606	129277773	chr3:129249606	ENSG00000181789
CORO2A	1264.53342989086	0.82776557826713	0.217015268724646	3.81431953213126	0.00013655868587298	0.00347952338450356	ENSG00000106789	protein_coding	chr9	98120975	98192640	chr9:98120975	CORO2A	protein_coding	chr9	98120975	98192637	chr9:98120975	ENSG00000106789	ENSG00000106789	protein_coding	chr9	98120975	98192640	chr9:98120975	CORO2A	protein_coding	chr9	98120975	98192637	chr9:98120975	ENSG00000106789
CPEB3	203.163957971828	1.02456603737129	0.297773349380618	3.44075801109277	0.000580087080420428	0.0117585219004141	ENSG00000107864	protein_coding	chr10	92046692	92291087	chr10:92046692	CPEB3	protein_coding	chr10	92046692	92291078	chr10:92046692	ENSG00000107864	ENSG00000107864	protein_coding	chr10	92046692	92291087	chr10:92046692	CPEB3	protein_coding	chr10	92046692	92291078	chr10:92046692	ENSG00000107864
CPEB4	1034.12004071978	0.994268535282524	0.264274775886293	3.76225287467586	0.000168389662916226	0.00413189428919616	ENSG00000113742	protein_coding	chr5	173888280	173961976	chr5:173888280	CPEB4	protein_coding	chr5	173888349	173961980	chr5:173888349	ENSG00000113742	ENSG00000113742	protein_coding	chr5	173888280	173961976	chr5:173888280	CPEB4	protein_coding	chr5	173888349	173961980	chr5:173888349	ENSG00000113742
CRAT	129.49865781211	-1.06422989777678	0.354881028672837	-2.99883569926724	0.00271013411402301	0.0396857499718989	ENSG00000095321	protein_coding	chr9	129094810	129111189	chr9:129094810	CRAT	protein_coding	chr9	129094142	129111189	chr9:129094142	ENSG00000095321	ENSG00000095321	protein_coding	chr9	129094810	129111189	chr9:129094810	CRAT	protein_coding	chr9	129094142	129111189	chr9:129094142	ENSG00000095321
CREB3L4	6580.39551086391	1.13828021899095	0.20311561183999	5.60410009195976	2.09339717020914e-08	1.30837323138071e-06	ENSG00000143578	protein_coding	chr1	153967534	153974363	chr1:153967534	CREB3L4	protein_coding	chr1	153967534	153974361	chr1:153967534	ENSG00000143578	ENSG00000143578	protein_coding	chr1	153967534	153974363	chr1:153967534	CREB3L4	protein_coding	chr1	153967534	153974361	chr1:153967534	ENSG00000143578
CROT	1643.36217933574	0.8524525293334	0.205628168485779	4.14560191636564	3.38922208105847e-05	0.00110101847266024	ENSG00000005469	protein_coding	chr7	87345681	87399795	chr7:87345681	CROT	protein_coding	chr7	87345664	87399794	chr7:87345664	ENSG00000005469	ENSG00000005469	protein_coding	chr7	87345681	87399795	chr7:87345681	CROT	protein_coding	chr7	87345664	87399794	chr7:87345664	ENSG00000005469
CRY1	1238.38510265608	0.593632598127456	0.201700025625648	2.94314587361148	0.00324895289330964	0.0460134954101734	ENSG00000008405	protein_coding	chr12	106991364	107093829	chr12:106991364	CRY1	protein_coding	chr12	106991364	107093549	chr12:106991364	ENSG00000008405	ENSG00000008405	protein_coding	chr12	106991364	107093829	chr12:106991364	CRY1	protein_coding	chr12	106991364	107093549	chr12:106991364	ENSG00000008405
CSGALNACT1	292.467275576059	2.06201798155005	0.28579028757731	7.21514366016461	5.38770669003437e-13	6.23744566463711e-11	ENSG00000147408	protein_coding	chr8	19404161	19758029	chr8:19404161	CSGALNACT1	protein_coding	chr8	19404161	19758029	chr8:19404161	ENSG00000147408	ENSG00000147408	protein_coding	chr8	19404161	19758029	chr8:19404161	CSGALNACT1	protein_coding	chr8	19404161	19758029	chr8:19404161	ENSG00000147408
CSRNP1	953.01964399778	0.828969358003778	0.226498094915987	3.65993964899025	0.000252274657652378	0.00582561960442238	ENSG00000144655	protein_coding	chr3	39141855	39154562	chr3:39141855	CSRNP1	protein_coding	chr3	39141855	39154562	chr3:39141855	ENSG00000144655	ENSG00000144655	protein_coding	chr3	39141855	39154562	chr3:39141855	CSRNP1	protein_coding	chr3	39141855	39154562	chr3:39141855	ENSG00000144655
CTNNA2	244.59858279272	3.85923538951427	0.334266144998096	11.5453971252047	7.78809252967189e-31	4.33369664957549e-28	ENSG00000066032	protein_coding	chr2	79185231	80648861	chr2:79185231	CTNNA2	protein_coding	chr2	79185231	80648861	chr2:79185231	ENSG00000066032	ENSG00000066032	protein_coding	chr2	79185231	80648861	chr2:79185231	CTNNA2	protein_coding	chr2	79185231	80648861	chr2:79185231	ENSG00000066032
CTSH	4743.55303783366	-0.804945032799266	0.201054763300878	-4.00361085499212	6.2382948844317e-05	0.00183308161202448	ENSG00000103811	protein_coding	chr15	78921058	78949574	chr15:78921058	CTSH	protein_coding	chr15	78921058	78949574	chr15:78921058	ENSG00000103811	ENSG00000103811	protein_coding	chr15	78921058	78949574	chr15:78921058	CTSH	protein_coding	chr15	78921058	78949574	chr15:78921058	ENSG00000103811
CTTN	9424.4853380941	0.651975801942549	0.192650217236659	3.38424638858121	0.000713739224258755	0.0140227808866327	ENSG00000085733	protein_coding	chr11	70398404	70436584	chr11:70398404	CTTN	protein_coding	chr11	70398404	70436584	chr11:70398404	ENSG00000085733	ENSG00000085733	protein_coding	chr11	70398404	70436584	chr11:70398404	CTTN	protein_coding	chr11	70398404	70436584	chr11:70398404	ENSG00000085733
CXXC5	965.895167377689	-0.696402603928848	0.213731569732007	-3.25830482039715	0.00112079945703522	0.0203299586055285	ENSG00000171604	protein_coding	chr5	139647299	139683882	chr5:139647299	CXXC5	protein_coding	chr5	139647299	139683882	chr5:139647299	ENSG00000171604	ENSG00000171604	protein_coding	chr5	139647299	139683882	chr5:139647299	CXXC5	protein_coding	chr5	139647299	139683882	chr5:139647299	ENSG00000171604
CYP2J2	643.181645815964	-0.709082059389163	0.225074028305127	-3.15043927870647	0.00163025140697701	0.0273558723447018	ENSG00000134716	protein_coding	chr1	59893308	59926790	chr1:59893308	CYP2J2	protein_coding	chr1	59893308	59926773	chr1:59893308	ENSG00000134716	ENSG00000134716	protein_coding	chr1	59893308	59926790	chr1:59893308	CYP2J2	protein_coding	chr1	59893308	59926773	chr1:59893308	ENSG00000134716
CYTH1	1331.41018650566	1.27075142161364	0.20507740458873	6.19644774694733	5.77516901002405e-10	4.65521801041659e-08	ENSG00000108669	protein_coding	chr17	78674048	78782297	chr17:78674048	CYTH1	protein_coding	chr17	78674048	78782297	chr17:78674048	ENSG00000108669	ENSG00000108669	protein_coding	chr17	78674048	78782297	chr17:78674048	CYTH1	protein_coding	chr17	78674048	78782297	chr17:78674048	ENSG00000108669
DAP	5502.2233104832	0.549033278853615	0.188162777132187	2.91786339052548	0.00352438718403383	0.0493071199712763	ENSG00000112977	protein_coding	chr5	10679230	10761272	chr5:10679230	DAP	protein_coding	chr5	10679230	10761234	chr5:10679230	ENSG00000112977	ENSG00000112977	protein_coding	chr5	10679230	10761272	chr5:10679230	DAP	protein_coding	chr5	10679230	10761234	chr5:10679230	ENSG00000112977
DBI	11692.3320072178	1.1071718669838	0.211050896232278	5.24599462380521	1.55441434690796e-07	8.56666053807104e-06	ENSG00000155368	protein_coding	chr2	119366921	119372560	chr2:119366921	DBI	protein_coding	chr2	119366924	119372550	chr2:119366924	ENSG00000155368	ENSG00000155368	protein_coding	chr2	119366921	119372560	chr2:119366921	DBI	protein_coding	chr2	119366924	119372550	chr2:119366924	ENSG00000155368
DCAF6	5805.00636749779	0.737631705946923	0.18420168173273	4.00447867255196	6.21543980064106e-05	0.00183275788993262	ENSG00000143164	protein_coding	chr1	167935783	168075843	chr1:167935783	DCAF6	protein_coding	chr1	167935783	168075843	chr1:167935783	ENSG00000143164	ENSG00000143164	protein_coding	chr1	167935783	168075843	chr1:167935783	DCAF6	protein_coding	chr1	167935783	168075843	chr1:167935783	ENSG00000143164
DCUN1D3	721.188050747855	0.831238346874383	0.232955531103924	3.56822756229626	0.000359404296290653	0.00793818708196386	ENSG00000188215	protein_coding	chr16	20854925	20900384	chr16:20854925	DCUN1D3	protein_coding	chr16	20854925	20900358	chr16:20854925	ENSG00000188215	ENSG00000188215	protein_coding	chr16	20854925	20900384	chr16:20854925	DCUN1D3	protein_coding	chr16	20854925	20900358	chr16:20854925	ENSG00000188215
DDB2	674.124143576635	-0.708648559703133	0.220888329164251	-3.20817565321066	0.00133579886469336	0.0234172057072769	ENSG00000134574	protein_coding	chr11	47214465	47239240	chr11:47214465	DDB2	protein_coding	chr11	47214465	47239217	chr11:47214465	ENSG00000134574	ENSG00000134574	protein_coding	chr11	47214465	47239240	chr11:47214465	DDB2	protein_coding	chr11	47214465	47239217	chr11:47214465	ENSG00000134574
DDC	1519.53108074737	-2.10025973033317	0.209610366274266	-10.0198275861274	1.24720324842673e-23	3.470041296026e-21	ENSG00000132437	protein_coding	chr7	50458436	50565457	chr7:50458436	DDC	protein_coding	chr7	50458436	50565405	chr7:50458436	ENSG00000132437	ENSG00000132437	protein_coding	chr7	50458436	50565457	chr7:50458436	DDC	protein_coding	chr7	50458436	50565405	chr7:50458436	ENSG00000132437
DEPTOR	261.725315865068	-1.27068944868321	0.280761003458599	-4.52587586249523	6.01458795231982e-06	0.000243548455815767	ENSG00000155792	protein_coding	chr8	119873717	120050913	chr8:119873717	DEPTOR	protein_coding	chr8	119873717	120050918	chr8:119873717	ENSG00000155792	ENSG00000155792	protein_coding	chr8	119873717	120050913	chr8:119873717	DEPTOR	protein_coding	chr8	119873717	120050918	chr8:119873717	ENSG00000155792
DGAT2	1108.4304964634	-0.9288333962083	0.206111518080547	-4.50646040967648	6.59179774525671e-06	0.000262606261214038	ENSG00000062282	protein_coding	chr11	75759512	75801535	chr11:75759512	DGAT2	protein_coding	chr11	75759512	75801535	chr11:75759512	ENSG00000062282	ENSG00000062282	protein_coding	chr11	75759512	75801535	chr11:75759512	DGAT2	protein_coding	chr11	75759512	75801535	chr11:75759512	ENSG00000062282
DHCR24	28840.0545142129	1.59188999731354	0.185900992443643	8.56310650302816	1.09866358518254e-17	2.0826315213625e-15	ENSG00000116133	protein_coding	chr1	54849633	54887218	chr1:54849633	DHCR24	protein_coding	chr1	54849627	54887195	chr1:54849627	ENSG00000116133	ENSG00000116133	protein_coding	chr1	54849633	54887218	chr1:54849633	DHCR24	protein_coding	chr1	54849627	54887195	chr1:54849627	ENSG00000116133
DNAJB9	1973.23370850967	1.44263836656283	0.203763434463253	7.07996687611288	1.44188922328516e-12	1.58424134405535e-10	ENSG00000128590	protein_coding	chr7	108569568	108574850	chr7:108569568	DNAJB9	protein_coding	chr7	108569867	108574850	chr7:108569867	ENSG00000128590	ENSG00000128590	protein_coding	chr7	108569568	108574850	chr7:108569568	DNAJB9	protein_coding	chr7	108569867	108574850	chr7:108569867	ENSG00000128590
DNAJC1	2872.22592777041	0.624003222202084	0.206692833881698	3.0189881791414	0.00253620427001271	0.0377061003495029	ENSG00000136770	protein_coding	chr10	21756537	22003769	chr10:21756537	DNAJC1	protein_coding	chr10	21756548	22003769	chr10:21756548	ENSG00000136770	ENSG00000136770	protein_coding	chr10	21756537	22003769	chr10:21756537	DNAJC1	protein_coding	chr10	21756548	22003769	chr10:21756548	ENSG00000136770
DNAJC10	6148.26191686546	0.93432634360447	0.189646361555616	4.9266768734209	8.36399006737724e-07	4.11050793909565e-05	ENSG00000077232	protein_coding	chr2	182716041	182794464	chr2:182716041	DNAJC10	protein_coding	chr2	182716255	182794464	chr2:182716255	ENSG00000077232	ENSG00000077232	protein_coding	chr2	182716041	182794464	chr2:182716041	DNAJC10	protein_coding	chr2	182716255	182794464	chr2:182716255	ENSG00000077232
DNAJC12	281.914238773785	0.978555916094491	0.291908351675738	3.35227104835118	0.00080151505340582	0.015345321499723	ENSG00000108176	protein_coding	chr10	67796665	67838166	chr10:67796665	DNAJC12	protein_coding	chr10	67796669	67838188	chr10:67796669	ENSG00000108176	ENSG00000108176	protein_coding	chr10	67796665	67838166	chr10:67796665	DNAJC12	protein_coding	chr10	67796669	67838188	chr10:67796669	ENSG00000108176
DNAJC17	549.211563741007	0.801684702646929	0.256287804678978	3.12806418413513	0.00175961751143663	0.0288358860719727	ENSG00000104129	protein_coding	chr15	40765155	40807478	chr15:40765155	DNAJC17	protein_coding	chr15	40765161	40807478	chr15:40765161	ENSG00000104129	ENSG00000104129	protein_coding	chr15	40765155	40807478	chr15:40765155	DNAJC17	protein_coding	chr15	40765161	40807478	chr15:40765161	ENSG00000104129
DNAL1	1008.25572291809	0.850761776183271	0.2335487588728	3.6427587125249	0.000269731655719168	0.00616274312735847	ENSG00000119661	protein_coding	chr14	73644875	73703732	chr14:73644875	DNAL1	protein_coding	chr14	73644875	73703732	chr14:73644875	ENSG00000119661	ENSG00000119661	protein_coding	chr14	73644875	73703732	chr14:73644875	DNAL1	protein_coding	chr14	73644875	73703732	chr14:73644875	ENSG00000119661
DNM1L	3742.04814762794	1.20657634904621	0.196954839769974	6.12615739961193	9.00267502294171e-10	7.05891564298838e-08	ENSG00000087470	protein_coding	chr12	32679200	32745650	chr12:32679200	DNM1L	protein_coding	chr12	32679200	32745650	chr12:32679200	ENSG00000087470	ENSG00000087470	protein_coding	chr12	32679200	32745650	chr12:32679200	DNM1L	protein_coding	chr12	32679200	32745650	chr12:32679200	ENSG00000087470
DOCK4	200.096630040544	1.00730702786348	0.336810800186723	2.99072068741573	0.00278319939044576	0.040594694992454	ENSG00000128512	protein_coding	chr7	111726110	112206411	chr7:111726110	DOCK4	protein_coding	chr7	111726110	112206407	chr7:111726110	ENSG00000128512	ENSG00000128512	protein_coding	chr7	111726110	112206411	chr7:111726110	DOCK4	protein_coding	chr7	111726110	112206407	chr7:111726110	ENSG00000128512
DPYSL2	1253.76858599149	-0.814221579569519	0.200375157985045	-4.06348565239954	4.83452953077521e-05	0.00148664480712676	ENSG00000092964	protein_coding	chr8	26514275	26658178	chr8:26514275	DPYSL2	protein_coding	chr8	26514031	26658178	chr8:26514031	ENSG00000092964	ENSG00000092964	protein_coding	chr8	26514275	26658178	chr8:26514275	DPYSL2	protein_coding	chr8	26514031	26658178	chr8:26514031	ENSG00000092964
DPYSL5	1247.46909726009	-0.779052503054567	0.213817458435033	-3.64354018963927	0.000268913640335913	0.00615220198381234	ENSG00000157851	protein_coding	chr2	26847747	26950351	chr2:26847747	DPYSL5	protein_coding	chr2	26847747	26950351	chr2:26847747	ENSG00000157851	ENSG00000157851	protein_coding	chr2	26847747	26950351	chr2:26847747	DPYSL5	protein_coding	chr2	26847747	26950351	chr2:26847747	ENSG00000157851
DSC1	421.793260914302	1.32512619665386	0.252564189543951	5.24669074838602	1.54855509224642e-07	8.56172286578547e-06	ENSG00000134765	protein_coding	chr18	31129236	31162856	chr18:31129236	DSC1	protein_coding	chr18	31129236	31162856	chr18:31129236	ENSG00000134765	ENSG00000134765	protein_coding	chr18	31129236	31162856	chr18:31129236	DSC1	protein_coding	chr18	31129236	31162856	chr18:31129236	ENSG00000134765
DYNC1LI1	1527.81579222006	0.613723143548362	0.20063313486189	3.0589321348681	0.00222127463020875	0.0346133580588085	ENSG00000144635	protein_coding	chr3	32525971	32570874	chr3:32525971	DYNC1LI1	protein_coding	chr3	32525974	32570858	chr3:32525974	ENSG00000144635	ENSG00000144635	protein_coding	chr3	32525971	32570874	chr3:32525971	DYNC1LI1	protein_coding	chr3	32525974	32570858	chr3:32525974	ENSG00000144635
EAF2	559.220045631361	2.56013800083509	0.249189355712624	10.2738658058395	9.24251362772776e-25	2.89878836506007e-22	ENSG00000145088	protein_coding	chr3	121835183	121886526	chr3:121835183	EAF2	protein_coding	chr3	121835183	121886526	chr3:121835183	ENSG00000145088	ENSG00000145088	protein_coding	chr3	121835183	121886526	chr3:121835183	EAF2	protein_coding	chr3	121835183	121886526	chr3:121835183	ENSG00000145088
EDEM1	4286.16015642227	0.89244509186026	0.190130674271282	4.69385119092832	2.68109096230797e-06	0.000117981681377073	ENSG00000134109	protein_coding	chr3	5187646	5219957	chr3:5187646	EDEM1	protein_coding	chr3	5187646	5219958	chr3:5187646	ENSG00000134109	ENSG00000134109	protein_coding	chr3	5187646	5219957	chr3:5187646	EDEM1	protein_coding	chr3	5187646	5219958	chr3:5187646	ENSG00000134109
EDEM3	3078.97153918326	1.10117343717416	0.202903458760416	5.42708066142136	5.72832450837232e-08	3.39565628073617e-06	ENSG00000116406	protein_coding	chr1	184690231	184754913	chr1:184690231	EDEM3	protein_coding	chr1	184690237	184754907	chr1:184690237	ENSG00000116406	ENSG00000116406	protein_coding	chr1	184690231	184754913	chr1:184690231	EDEM3	protein_coding	chr1	184690237	184754907	chr1:184690237	ENSG00000116406
EDN2	98.8892875069038	-1.18357376676782	0.395291115208941	-2.99418256881946	0.00275181229846765	0.0402277645326839	ENSG00000127129	protein_coding	chr1	41478775	41484673	chr1:41478775	EDN2	protein_coding	chr1	41478775	41484683	chr1:41478775	ENSG00000127129	ENSG00000127129	protein_coding	chr1	41478775	41484673	chr1:41478775	EDN2	protein_coding	chr1	41478775	41484683	chr1:41478775	ENSG00000127129
EEF2K	1832.76208019914	0.724333255770616	0.214764681896029	3.37268329865	0.000744395203207224	0.0145163921320812	ENSG00000103319	protein_coding	chr16	22206282	22288732	chr16:22206282	EEF2K	protein_coding	chr16	22206278	22288738	chr16:22206278	ENSG00000103319	ENSG00000103319	protein_coding	chr16	22206282	22288732	chr16:22206282	EEF2K	protein_coding	chr16	22206278	22288738	chr16:22206278	ENSG00000103319
