7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
FAM25A	0	0	0	0	2	0	0	0	0	0	0	0
FAM25BP	0	0	2	0	0	0	0	0	1	2.000004	0	0
FAM25C	0	0	0	1	5	4	3	2	0	0	0	0
FAM25E	0	0	0	0	0	0	0	0	0	0	1	0
FAM25G	0	2	0	0	0	0	0	0	0	0	0	0
FAM26D	0	0	0	1	0	4	3	1	0	0	0	0
FAM26E	1511.03	1305.91	1223.95	1311.94	1603	1975.96	2048.09	1599.9	1044	1171	1048	1172.84
FAM26F	15	6	7	2.000001	3	3	4	7	1	1	1	0
FAM27AP1	0	0	0	0	0	0	0	0	0	0	0	0
FAM27B	1.11579	1.97135	0	0	5.00039	0	0	0	0	0	1.58484	0
FAM27C	16.7761	19.0286	11.6936	6.65718	20.9996	18	11.0921	17	18	20	12.4152	9
FAM27D1	0	0	0	0	0	0	0	0	0	0	0	1.83509
FAM27E2	0	2.75084	0	0	4.08894	0	0.0505812	0	0	0	0	0
FAM27E3	13.10811	22.2492	11	10.18747	8.91106	13	15.41621	17.8503561	11.999959	10.05132	3.000004	14.843722
FAM27E4	5.85323e-06	0	0	0	0	0	0	1.24753e-08	0	0	0	0
FAM27L	0	0	0	0	0	0	0	0	0	0	0	0
FAM32A	1934.99561	1961.00001	1629.9969	1778.0048	1647.002	1925.99816	1882.00316	1593.00305	1564.00395	1645.9964	1469.0036	1635.00422
FAM32B	0	0	0	0	0	0	0	0	0	0	0	0
FAM35A	1183.882	1222.686	892.578	974.761	895.7795	1193.7766	978.48	891.6401	690.833	859.125	683.2418	775.8997
FAM35BP	29.7429	41.0227	26.4079	14.7775	19.8092	38.0481	29.3334	28.1161	23.7617	21.7658	25.3098	18.2053
FAM35CP	0	0	0	0	0	0	0	0	0	0	0	0
FAM35DP	37.3712	25.293	29.014	26.4616	34.4109	21.1761	23.1861	23.2434	15.4054	14.1094	31.4483	20.8945
FAM3A	943.9994	877.99949	597.0004	639.53390670791	524.8506	706.0006	598.0004	459	604.9998	563.0003	471.9996	500
FAM3B	0	0	0	1	0	0	0	0	0	0	0	0
FAM3C	2777.16	2406.55	2018.67	2226.6	2106.24	2792.44	2507.38	2040.95	2153.26	2912.54	2479.26	2289.88
FAM3C2	954.843	961.447	955.332	931.397	1026.76	1167.56	1145.62	867.052	939.742	962.456	908.742	1019.12
FAM3D	0	0	0	0	0	0	0	0	0	0	0	0
FAM3D-AS1	2.38218	1.05248	0	0	0	0	0	0	0	0	2.09127	0
FAM41AY1	0	0	0	0	0	0	0	0	0	0	0	0
FAM41AY2	0	0	0	0	0	0	0	0	0	0	0	0
FAM41C	16.90838	16.73646	8.44636	12.95674	7.51648	10.79676	19.6443	8.44191	10.47262	13.01233	2.30234	12.6007
FAM43A	102	103	62	87	111	119	144	137	88	80	89	84
FAM43B	13	26	13	11	18	14	7	9	30	37	30	35
FAM45A	1844.002	1957.996	1164	1166	1176	1480.997	1033	934	928	1166	781	820
FAM45B	0	0	0	0	0	0	0	0	0	0	0	0
FAM46A	3106.996	2865.997	2414.997606	2453	3984	5215.999	4795.997	3838.9988	2847.001	3576.002	2778.00300017922	2963.997
FAM46B	58	60	34	46	33	59	44	39	18	10	10	9
FAM46C	45	25	19	42	110	152	189	149	14	19	21	21
FAM46D	0	0	0	0	0	0	0	0	0	0	0	0
FAM47A	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	0	0	0	0	0	0
FAM47DP	0	0	0	0	0	0	0	0	0	0	0	0
FAM47E	0	1	5	1.06992	1	0	3	0	1	2.20761	3.09899	0
FAM47E-STBD1	0	0.000123461	0	91.2351	0	0	0	0	0	38.8433	121.336	34.7195
FAM49A	2.000004	2.000004	4	3	2	3	5	1	0	0	1	4
FAM49B	596.99972	700.0007	567.00025	602.9996	520.0004	708.00081	652.99955	506.9998	572.00059	659.0003	634.99961	664.9999
FAM50A	2665	2493	2199	2217	1924	2213	2253	1896	1756	1786	1675	1755
FAM50B	221.0001	222	145	171	182.0002	180.0002	145	134	163.9997	157	148	162.9996
FAM53A	30.0000173183	32.99996	38.99998	44.00002	24.00003	31.00001	27.00002	14	24.00003	23.00001	22	28.99997
FAM53B	573.15354	569.17291	370.61814	349.447	393.74136	434.75618	352.422	337.5072	399.17447	355.693	317.20224	339.11217
FAM53B-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FAM53C	1328.00058	1353.99897	941	1022.00104	1100.99	1243	1091	969	984.989	1140.97711	952.00036	1020.9967
FAM57A	1825.99575	1858.001	1282.999	1401.998	602.9997	655.0002	602.99972	475.0001	779	871.0004	632.00012	574.00028779
FAM57B	0	4	0	4	1	1	5	2	0	0	3	4
FAM58A	549	556.997	312	319.942	431.991	496.988	324.982	264	437	454.983	293	339
FAM58BP	0	0	0	0	0	0	0	0	0	0	0	0
FAM58CP	0	0	0	0	0	0	0	0	0	0	0	0
FAM58DP	0	0	0	0	0	0	0	0	0	0	0	0
FAM60A	343.85644	313.0713037	260.31093557	296.9486	138.1939	148.02	191.969	191.06447	165.37299688	226.1507	261.1177	254.1904475
FAM60BP	0	0	0	0	0	0	0	0	0	0	2	0
FAM60CP	0	0	0	0	0	0	0	0	0	0	0	0
FAM60DP	190.037	201.42	145.552	193.674	175.861	197.841	172.7	161.22	101.828	107.89	117.121	126.463
FAM63A	169.66928	175.7413	240.363	221.91699	265.6283	290.4795	378.2997	291.65573	253.32129	230.959	297.57373	281.5675
FAM63B	3009.714	2728.411	2536.498	2608.675	1880.925	2534.595	2565.174	2085.15	1173.103	1547.119	1572.427	1601.598
FAM64A	104.0000415972	137.01269	128.00001	144	150.9853	198.0002	139.6917	149.99995	128.9999	138.02777	108.434538	124.99996
FAM65A	5419.005	4892.98647	3365.8947	3611.995392472	3492.9995	3989.9959224504	3354.9458	2840.9917	3737.999224	3708.002	2994.001	3195.0036361
FAM65B	102.003681501827	85.6592	101.2118	119.74094	214.70538	270.8662	293.7568	270.4617	34.42594962179	27.44071	63.2993834566	43.155716932
FAM65C	15	25	10	19.00002	13	9	5	3	10	3	6	6
FAM66A	6.17496	5.81373	2.79913	4.93423	5.8968	15.20061	1.0497	2.10611	1.22707	3.30704	1.20859	3.30619
FAM66B	110.1869	109.92446	45.61298	50.8915	72.76192	70.39022	66.95625	38.05303	39.60882	38.15705	26.38086	23.81014
FAM66C	55.63809	46.46355	13.55423	24.26016	26.40314	24.29466	21.27135	8.11474	17.67938	22.01053	27.35996	12.35848
FAM66D	7.77397	2.38181	0	1	8.21767	3.06632	0	5.04595	2.37648	3	2	1.03714
FAM66E	2.08766	3.48315	9.823800213786	5.5447	5.00935	4.94545	2.85641	3.09593	1.43965	5.25296	3.1332	2.00593
FAM69A	1229.0007	1001.999913	1202.998	1215.001425	906.0001185864	1357.00024	1263.99510034075	1152.996	890.99965829	1121.9952337	1167.003539459	1184.0038
FAM69B	7.00000023	4.159647569	7.0000057986	1.0778337824	7.00000248	6.113248716	3.023045234	8.000002286	8.203076634	4.9999966464	2.14267	0
FAM69C	0	0	0	0	0	0	0	0	0	0	0	0
FAM71A	0	1	0	0	0	0	0	0	0	0	0	0
FAM71B	0	0	0	0	0	0	0	0	0	0	0	0
FAM71BP1	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	1	0	0	0	0	0	0	0	0
FAM71D	0	2	0	0	0	0	0	0	0	0	0	0
FAM71E1	3.00777	2.01355	3.01766	2.01606	2.01224	3.01499	1.00367	2.03309	3.0121	3.00868	1.0059	2.00972
FAM71E2	1	0	1	1	0	0	0	0	0	0	0	0
FAM71F1	7	6	4	7	2	4	5	5	1	6	1	4
FAM71F2	108.39397	100.669	66.1545	67.1717	64.6482	66.8794	68.30634	73.2464	73.9524	72.8241	58.9803	63.7043
FAM72A	69.63835	59.463741	55.9997	121.8903	60.7566	80.2439	79.25517	68.64948	51.73109	67.65361	63.13195	63.14759
FAM72B	49.817	76.77584215021	64.3492	86.678	50.74441	98.84298	59.24994	57.48412	21.8701	40.2728	61.6591057802	69.012038
FAM72C	34.9841	45.3213	13.0429	51.8864	42.5321	91.8492	34.3582	35.747	37.2234	3.91918	0	39.5885
FAM72D	50.5605	79.5139	82.6593	65.9851	34.2505	12.2572	40.3862	25.4761	18.3224	24.5046	34.3445	9.67079
FAM73A	1770.533	1749.595	1314.729	1412.703	1204.358	1579.384	1476.408	1190.488	1090.041	1398.098	1221.918	1287.691
FAM73B	660.778	612.701	459	470.919	419.833	453.952	429	371	418	426.131	331	384.675
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A4	0	0	0	0	1.05515	0	0	0	0	4.31682	0	0
FAM74A6	1.10375	2.32117	0	3.19705	4.34831	2.50124	9.63154	1.11636	2.48173	0	0	2.26298
FAM74A7	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	259.807	266.1706259521	185.3104	197.75078	279.14744	353.595	273.8675	263.4868	271.6261	314.7219972	248.6767778	277.5036
FAM76B	190.0004	206.9997	144	195.0004	147.9995	214.9998	208	176.0001	88	126	152	145
FAM78A	65.3862	47.5487	31.9378	49.0826	40.91507	56.5775	52.52479	49.30572	35.000029272	25.03119	38.9706	58.6449
FAM78B	1	1	3.000003	0	0	1	1	0	0	2	1	3
FAM81A	9	0	5	3	3	3	5	10	1	0	4	5
FAM81B	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	3.05286	1.00796	3.15992	5.04516	2.02748	4.12848	5.15875	4.10853	2.21178	2.08029	1.02815	2.04711
FAM83A-AS1	0	0	0	0	1	0	0	0	0	0	0	0
FAM83B	0	0	0	0	0	0	0	0	0	0	0	1
FAM83C	0	2.00057	0	0	0	0	2.00055	0	0	1.00027	0	1.00282
FAM83C-AS1	0	0	0	0	0	0	1	0	0	1	1	0
FAM83D	199.00000341141	338.0000840917	222.00000006104	239.999800063419	302.999700187569	379.9997	241.999600417013	257.0003	148.000300043989	234.99960157679	138	164.99990306177
FAM83E	1.11915	3.27273	3.12507	2.22269	5.02315	3.05026	1.09576	4.40805	0	1.03068	0	2.01955
FAM83F	15.7168	16.522	24.3824	8.80262	21.0499	25.3248	21.9735	11.1343	12.2065	15.8262	9.47533	10.9428
FAM83G	4235.93	4246.8715	3581.9281	3710.95328	2085.94	2369.93	2557.91	1721.95145	1487.92136	1665.92	1318.95	1367.96
FAM83H	121.287	91.4244	50.503	76.7898	126.94	123.282	106.669	80.2318	62.4795	59.253	33.1581	37.445
FAM83H-AS1	15.502	17.4492	20.6827	15.991	9.78839	11.7993	16.7754	13.215	13.5861	18.0782	10.7608	10.1431
FAM84A	171.9999	138	96	145	22.00002	23	23	30.99999	6	8	15	13
FAM84B	10.0313	6.02444	3.20924	9.0594	10.4869	8.07599	18.3755	19.6195	46.2447	59.0527	39.0555	44.0646
FAM85B	19.9997	17.6425	6.48871	10.1888	5.00999	11.0461	2.93403	3.82948	0	5.69831	0	1.54891
FAM86B1	80.79516	57.33857	68.1163	43.01036	21.49779	23.6316	23.83826315376	13.0328	15.211237	14.4498	14.5334	12.53833
FAM86B2	25.36364	23.80219	9.98115	20.81058	12.72712	6.91493	2.81296	2.55596	1.31206	0	0	1.09842
FAM86B3P	20.7732	12.3562	12.8342	13.5563	4.08106	2.2099	5.20281	3.25791	2.10427	3	5.83921	6
FAM86C1	220.35488	201.8651	200.5174	213.3659	147.848	200.2328	218.559	184.9047	136.0516	168.1528	145.6378	194.8891
FAM86C2P	22.91628	31.70113	43.47241	55.62057	27.83917	30.35795	35.72252	27.5354	25.0225	22.71761	33.63109	40.03294
FAM86DP	464.8371	465.7189	395.8805	420.9971	401.1738	496.7623	457.241	383.7667	330.6975	379.2741	342.4286	435.5624
FAM86EP	72.64038	67.03247	71.63308	65.30885	65.0032	87.95663	98.53138	83.35584	58.275	61.58838	70.50534	59.08615
FAM86FP	30.0457	32.61838	22.85257	11.75263	11.32486	13.50276	13.31867	14.00977	7.89381	4.75972	7.48611	10.48815
FAM86GP	1.01998	4.25287	5.10269	3.37085	3.19517	0	2.38026	4.06277	1.42556	0	3.23923	6.49106
FAM86HP	22.41487	28.3239	13.65565	29.5551	15.03593	20.51136	17.77242	12.14632	6.2562	11.15835	3.07413	2.0103
FAM86JP	58.60852	54.90028	57.80002	65.0140564	23.01202	35.27489	40.50274	44.07431	42.91677	44.6719	28.2892	37.10169
FAM86KP	0	0	0	1.08628	0	0	0	0	0	0	0	0
FAM86LP	0	3	1.02555	1.32534	0	0	0	0	0	0	0	0
FAM86MP	0	2.03887	3.14173	2.04129	1.03424	1	1.06475	0	0	0	0	1.01954
FAM87A	0	2.73347	0	1	0	0	2.05963	0	0	2.85586	2.70641	0
FAM87B	9	2.50602	2.25884	1	9	18.4371	21.3801	10	8.38174	18.1441	15.662	14.0868
FAM89A	27	32	10.1278	20	27	35	19	28	39	39	22	19
FAM89B	1123.94	998.898	824.0005	872.0007	868.0002	1040	1039.8788	873.8874	1146.0006	1120.9996	1030	1129
FAM8A1	1460	1390	961	1016	1439	2148	1556	1279	1350	1856	1438	1334
FAM8A2P	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A3P	0	0	1	0	0	0	0	0	0	0	0	0
FAM8A4P	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A6P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A1	4	3.44561	4	0	0	5	5	4.47959	0	1.197	0	0
FAM90A10P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A11P	0	0	0	1.33382	0	0	0	2	3	0	0	0
FAM90A12P	0.665096	4.03191	0	0	2	0	0	0	0	0	0	0
FAM90A13P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A14P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A15P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A16P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A17P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A19P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A20P	2	0	0	1.66618	0	2	0	1	0	1	0	0
FAM90A21P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A22P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A23P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A24P	0.334904	0	0	0	0	0	2	0	0	4.38401	0	1
FAM90A25P	1.74276	0	0	6	0	0	0	0	0	0.193013	0	0
FAM90A26	1	1.12641	3	1	6	0	4	0	0	2.55891	0	0
FAM90A27P	0	0.999997	1	0	0	0	0	0	0	0	0	0
FAM90A28P	0	1.00000310896	0	0	0	0	0	0	0	0	0	0
FAM90A2P	5.25724	3.39608	4	0	2.07653	0	0	1.61539	0	4.66706	0	0
FAM90A3P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A4P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A5P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A6P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A8P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A9P	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	1917.509	2019.702	1542.882	1490.779	1387.658	1719.716	1541.748	1364.699	1057.681	1351.749	1081.875	1161.277
FAM91A3P	7.59696	6.28348	3.73549	5.00781	7.54463	3.79782	4.66088	5.14282	5.00677	3.73018	1.23813	13.8673
FAM92A1	602.2002	586.38438	189.2544	198.73102	447.53245	569.80535	211.5137	184.8702	384.018	536.20203	218.17754	233.9685
FAM92A1P1	0	0	0	0	0	0	0	0	0	0	0	0
FAM92A1P2	1.16973	1.32188	0	1.07245	2.70483	3.21394	0	5.0396	0	1.06925	0	1.34501
FAM92B	12	11	8	4	11	13	8	5	3	7	11	11
FAM95B1	16.19813	13.52221	12.07843	12.03719	1	11.026347	7.02123	3.00759	7.04123	5.06576	4.01161	2.0102
FAM95C	11.9442	25.5359	6.37628	6	3	6	0	0	3.3524	1.08394	0	0
FAM96A	452.99946	511.00037	356.99944	389.99946	412.9996	461.99979	391.9996	356.99961	286.99953	393.00029	284.00042	306.99987
FAM96AP1	0	0	0	0	0	0	0	0	0	0	0	0
FAM96AP2	0	0	0	0	0	0	0	0	0	0	0	1
FAM96B	684	655	610	569	483	579	582	532	573	548	516	560
FAM98A	6887	6581	6251	6208.999	4467.0042	5730	5744	4684	3684.0035	4672	4527	4717
FAM98B	1104.52839	1043.6993	746.6876	747.51407	940.4018	1341	939.4071	806.983	838.10936	1049.7524	861.45902	849.16115
FAM98C	146.99981	98	78	60	99	106	79	88.99997	120	97	79	75
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	1	0	0	0	1	0	0	0	0	0	0
FAM9B	2.54418	4.36313	3.51367	3.60356	9.85354	1.23709	1.25759	1.0014	1.53693	10.59089	7.93167	1.56467
FAM9C	11.28372	7.07866	13.06918	7.22419	5.0349793	5.265515	3.19364	5.04065	0	5.26628	7.018631	4.09712
FAN1	928.0042	965.8668	743.2732683	734.848	710.685203	934.5148	776.94859	660.1542	666.0159	791.1051	740.82297	730.0666
FANCA	278.3317	297.2594	242.0521	245.4603	151.67348	209.798	136.1805	116.37070205946	131.71867	142.23786	125.44398	131.1217
FANCB	127	160	153.9996	144	73	134	79	57	58	68	81	72
FANCC	194.3929	143.0003	155.6571	165.0111	164.9803	189.0658	194.0003	180.1121	101.09278	115.8776	134.0744526	144.109697308
FANCD2	181.35948	218.70146	185.68636	185.09148	203.33046	208.29977	187.155910012344	163.05135	83.14476	102.03775	66.3758	97.80881
FANCD2OS	0	0	0	0	0	0	0	0	0	0	0	0
FANCD2P2	0	0	0	0	0	0	0	0	0	0	0	0
FANCE	200.237	257	209	208	107	132	133	129	95	115	82.051	94
FANCF	230.793	210.319	133.927	138.245	151.182	202.549	150.227	134.282	176.062	204.299	179.667	148.947
FANCG	244	290	216	232	172	203	200	160	138	159	137	123
FANCI	497.71499	627.7551	464.0111	494.3404	526.4026	699.5589	413.0945	418.2017	323.24524	385.8732	264.4455	273.00722
FANCL	192.2173	241.419	186.694	244.03733	126.7526	159.5528	133.05707	134.7975	117.9855	140.04924	151.3453	163.8953
FANCM	249.9997	295	219.0001	256.9996	192.0002	241.9998	231.9998	213.0001	155	209.999700546761	171.00001	201.9996
FANK1	44.00001	42.99998	35.00003	30	66	94.99997	93.00001	75.00001	64.99997	54.99996	70	98.00006
FANK1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FAP	1536.6602	1409.60270855927	1279.60442816	1405.46713	2142.6306969878	2733.481	3076.6660086593	2598.17298	2021.75887685	2654.59770212311	2683.35093032759	2958.75334344
FAR1	3225.0006	3258.9958	2483.0042	2532.0033	1826.0008	2272.005	1829.9989	1555.001	1546.9971	1977.0038	1604.9976	1689.9973
FAR1-IT1	1	0	0	1	0	2	1	0	0	0	0	0
FAR1P1	0	0	0	0	0	0	0	0	0	0	0	0
FAR2	144	108	101	100	73.9079	102	63.6767	77	206.0004	259	219.8493165	236.9048
FAR2P1	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P2	0	2	3	0	0	1	0	0	0	0	0	1
FAR2P3	1	0	1	0	0	0	0	0	0	0	0	0
FAR2P4	0	1.00646	0	0	0	0	0	0	0	0	0	1
FARP1	7250.0626	6587.7317	6034.7729	6019.6167	4808.585	5902.3015	5691.7659	4764.243	3974.2324	4430.71031	3840.3813	4199.78869
FARP1-AS1	7.14619	2.02351	2.01206	4.04864	2	1	2	2.03005	5.09143	3.0257	3.05799	1.00903
FARP2	716.8859	694.1074	421.97908	470.43637	502.9416	610.6635	484.06789	447.11033	511.6538	482.3691	386.5712	478.0457
FARS2	239	269	276.0004	274.00016	206.9999	251.00007	272.9996	226.9996	191.0005	209.9995	200.00045	266.99989
FARSA	1681	1655	1380.00001	1527.9962	1108	1288.9966	1215.99803	1070.00161	1146.0028	1184.99945	977	1018
FARSA-AS1	1	0	0	1	0	0	1	1	1	0	0	0
FARSB	2867.43	2720.75	2472.91	2509.7	1763.28	2275.61	2088.1	1838.56	1704.81	1782.72	1606.57	1794.13
FARSBP1	0	0	0	0	0	0	0	0	0	0	0	0
FAS	3425.0039	3195.0009	3146.0049	2913.00140004203	2600.00000016888	3493.00100002414	3727.001	2974.99766606	1980.99910001692	2513.00453943	2388.99916	2337.9965
FAS-AS1	0	2	1	0	2	0	0	0	0	0	1	0
FASLG	0	0	0	0	0	2.002636	2.00113	0	0	2.00125	0	0
FASN	10760.005	9319.996	7351.998	6920.0045	6323.001	7204.996	6337.002	5403.0005	5760	5782.002	4475.002	5095.999
FASTK	1260.9966	1284.9999	1009.0008	1050.9999503043	1062.9999	1181.9998	1223.0012	1057	932.9991	973.0001	917	862.9999
FASTKD1	524.9997	549	533.0001	529.9972	357.0001	471.0001	444	350.0003	314	435	478.9996	473.0003
FASTKD2	1064	1017	892	1009.999	695	978	926	798.999	731	856	865	922.001
FASTKD3	200	218	161	166	150	236	173	161	131	171	140	165
FASTKD5	641	701.804	510.49	558	521.828	650	549.844	406	473.66	506.828	420	458.82
FAT1	69864.007	58878.950571	51847.995	43127.992178	30461.048	40074.951339	43753.952288	33874.00985258	52174.983899	58652.037816	61037.986	71679.0058
FAT1P1	0	0	0	0	0	0	0	0	0	0	0	0
FAT2	10	17.2505	20.3243	9	5.55277	14	11.2795	16	8.58065	7	15	9.13915
FAT3	383.192	316.145	268.5565	322.8	1008.06	1634.387	1568.046	1251.727	177.2443	262.1198	221.272	275.3838
FAT4	2898.003	2324.995	2102.004	1806.0013	2707.004	3844.997	4227.004	3258.999	1105	1462.9991	1520.0013	1802
FATE1	0	0	0	0	0	0	0	0	0	0	0	0
FAU	3465.9253	3377.4371	2955.92056	2910.9247	2825.6744	3224.6773	3201.66558	2755.99656	2460.00227	2398.92756	2180.99641	2405.999458
FAUP1	1.07885	0	1.08125	1.07972	0	0	0	0	0	1.07113	0	0
FAUP2	0	0	0	0	0	0	0	0	0	0	0	0
FAXC	9.320277	16.26387	1.03491	10.2171	14.3991	18.5894	7.211015	2.05959	22.5499	18.72092	7.158443	7.1477
FAXDC2	105.31538	84.02001	152.09897	133.09111	208.02565	240.03828	370.13969	329	86.03662	85.11271	206.99994	195.03146
FBF1	120.00004	109.55589	52	71.4582	75	94	52.00002	45.99998	74	123.00003	46.99998	68.3971
FBL	1065	1018	1001	1039	715	964	1039	840.99975	581	664	570	687
FBLIM1	4142.632	3641.1481	2492.53189	2440.3027	3348.2517	3598.4433	2884.2546	2430.56019	3712.5877	3987.5527	2785.1783	3015.3179
FBLL1	5	9	5	4	38	43	44	30	4	2	3	2
FBLN1	1428.99642	1472.99911	701.99964	946	821.99993	1042.9996	859.00017	722.99997	556.9999	618.0002	404.0002	415.99969
FBLN2	11015	10055	7643	8413.99952	4307.999	4644.998	5790.003	4863.001	3059.997	3148.99606	3154.997	3209.005
FBLN5	6326.9814	5843.675	5653.597	5460.3912	7763.84	9957.025	12712.551	10471.092	5654.3149	6692.1384	6423.61	6993.649
FBLN7	89.00003	66.00004	48	79	75	60.99996	33.99997	54.00001	29	34	33.99998	31.00003
FBN1	143238.585	122772.806	115985.241	103531.684	117314.052	143688.82	146921.762	119692.843	115810.381	131093.444	129804.402	147561.088
FBN2	470.00053	366.99962	286.99994	351.99928	5757.9979	7597.99943	6959.00136	6094.0063	10734.00181	12787.99132	9873.0084	11467.99519
FBN3	0	0	0	0	0	0	0	0	0	0	0	0
FBP1	0	0	0	0	0	0	0	0	0	0	0	1
FBP2	0	0	0	0	0	2	0	0	0	0	0	0
FBP2P1	0	0	0	0	0	0	0	0	0	0	0	0
FBRS	3004	2960	2094.999	2215.005	1791.995	2188.002	2095.996	1874.997	1847.005	2010.003	1694	1734.997
FBRSL1	524.057	527.095	427.284	447.522	389.385	439.732	509.484	408.364	389.044	399.033	364.621	389.164
FBXL12	489.00358	469.99968	371.01085	376.02383	359.00876	377.00612	466.01129	378.00677	331.003671	302.9997	352.02846	320.00044
FBXL13	9	17.00000301632	9	13.9999975	8.000005	9	11	6	5	3	3	7
FBXL14	52	50	56	52	56	46	39	61	54	46	61	61
FBXL15	141.0000587449	134.000043736	104.0000421996	96.9999537017	133.000416624	161.999800903	158.000212047	159.0000386031	173.000133713	150.0000744668	126.000052088	125.00011085
FBXL16	13	13	15.00004	9	21	20	7	7	7	4	3	2
FBXL17	771.00104	692.99977	453.93518	460.00264	542.00006	764.40983	499.55029	419.47233	540.00038	686	427.00044	436.99965
FBXL18	667.4401	606.222	544.186	560.0887	435.5016	525.7015	664.0838	465.449	381.3993	458.6964	416.9766	519.3835
FBXL19	626.658300419095	548.9725115477	500.9218	464.0002	398.87620178	438	476.196	404.999947879	517.000500767567	455.000321	431.00017	479.9997
FBXL19-AS1	114.706	116.998	95.8868	110.785	92.0624	79.3761	118.825	76.8542	85.1758	83.5471	87.504	87.4875
FBXL2	216.3188	178.53048	122.98413	121.04165	49.40769	29.7606	34.7272	22.4332	169.0162	176.8939	125.9652475	123.2259
FBXL20	865.964	919.5317	713.8912	730.1107	747.9575	940.3621	1114.2257	934.531	632.0579	660.0955	788.6949	813.447
FBXL21	0	1	0	0	1	2	1.14519	0	0	0	0	1
FBXL22	9.00167	6.00121	17.05409	12.00126	9.00238	13.42258	19.00278	22.13122	6.00254	3.00134	5.00005	11
FBXL3	2564	2526	2061	2037	1630	2212	2216	1903	1200	1610	1516	1577
FBXL4	669.809	701.786	535.336	489.587	672.945	792.523	658.125	570.02	487.747	600.901	529.044	588.201
FBXL5	1822.999	1640.004	974	1012	1541	1946.999	1486.998	1232	1343	1772	1324	1407
FBXL6	265.8977	270.813	238.7788	209.9167	141.6122	186.8794	177.0002	155.928	170.0004	142.0003	123	126.9433
FBXL7	970.0002	950	805.00032	829.99978	679.99927	751	913.99991	772.99993	941.00019	929.99982	1006	1114.99935
FBXL8	70.10905	87.0308	68.97131	78.95442	86.9318	92.52241	124.52767	93.60872	58.4581800127139	68.79317	81.29693	74.30024
FBXO10	599.087	521.285	515.684	548.367	419.308	525	570.282	495.969	313.53	339.743	386.933	414
FBXO11	2385.00233	2537.0902	1957.8139	2068.83091	1968.1308	2575.4763	2440.7601	2133.1709	1492.7559	1876.5738	1778.3318	1823.3608
FBXO15	6	4	4	2	12	6	7	5	2	1	1	2
FBXO16	12.99997	3	1	10	7	4	8	4.000782	11	11	18.00003	28.00326
FBXO17	376.062	383.9877904	151.69251	128.20179	360.448	405.953	214.617	155.14027	428.897	414.70701	216.62	196.357
FBXO18	2603.969	2597.122	1948.9661	2122.9772	1953.683	2292.195	2226.77	1854.1581	1823.8463	1859.8082	1618.1657	1857.5343
FBXO2	16	27	9	3	12	11	3	6	10	10	3	5
FBXO21	1103	1128.9999	798	818	1006	1261.999	1097.999	919	854.9998	981	735.9998	860.9998
FBXO22	803.312	875.59	660.568	674.649	592.948	795.813	653.201	603.817	638.892	732.782	695.324	793.901
FBXO24	2	6.61167	6	5	2	0	2	9	1.60597	2.75744	5	4
FBXO25	508.3422	557.3267	405.37602	384.66391	470.462018	654.757533	613.016422	487.807901501	369.2598	459.235	431.985	475.72239
FBXO27	85.8899	66.9813	28.4879	18.7759	82.494280911166	98.5181	51.955	35.5102	94.869	116.3523	57.9351	60.4456
