7496_IG1_20201218	7496_IG3_20201218	7496_ZFX2_ZFY1_20201218	7496_ZFX3_ZFY2_20201218	7497_IG1_20201218	7497_IG3_20201218	7497_ZFX2_ZFY1_20201218	7497_ZFX3_ZFY2_20201218	7506_IG1_20201218	7506_IG3_20201218	7506_ZFX2_ZFY1_20201218	7506_ZFX3_ZFY2_20201218
ADAMTS4	592.4243	674.4505	654.9501	747.7846	546.4064	748.5964	525.9076	610.4594	871.1488	617.8827	612.5585	694.2998
ADAMTS5	1960	3738	5262	2768	1375	1344	1728	1680	3167	2009	2650	3202
ADAMTS6	824	1158	1047	1116	553	751	480	618	1316	957	802	1017
ADAMTS7	604.78	796.977	762.88	416.943	742.749	851.604	455.639	466.747	721.688	332.696	509.769	504.586
ADAMTS7P1	3.12064	7.17995	2.0448	3.05708	5.12354	11.293	2.61217	3.0806	2.06707	4.19493	1.01113	3.06081
ADAMTS7P3	1.09975	7.84271	1.0753	0	1.16057	1.10295	4.23907	1.15385	4.24481	2.10892	2.22016	3.35333
ADAMTS7P4	0	6	5	0	3.43121	1	4.5098	2.0189	7	1	0	0
ADAMTS8	1	0	2	0	0	1	0	0	2	0	2	10
ADAMTS9	75	99	131	110	11	11	7	10	436.00049	313.99984	369.9996	332.99992
ADAMTS9-AS1	0	0	0	0	0	0	1	0	0	1	0	0
ADAMTS9-AS2	10.003	25.07079	41.00232	11.00497	5	8.0015	3.00076	4.0021848	50.00345	15	36.00001	42.0016
ADAMTSL1	26249.0002	38122.9888	28435.95214	23647.0144	12067.0391	15791.9839	10910.9973	11343.9812	21498.0428	12157.9992	14887.02153	15962.986
ADAMTSL2	2.04372	4.06203	2.02382	0	4.02275	10.3031	6.03932	8.44915	0	4.0161	0	6.15977
ADAMTSL3	0	4	5	0	0	0	0	0	1	5	6	2
ADAMTSL4	2014.9933	2389.0032	3133.0042	2419.9951	2216.0029	2391.002	1690.9978322	1837.997119	1260.0001	631	908.999976	1067.99940058277
ADAMTSL4-AS1	20.1381	27.8822	12.1091	21.4554	3.0209	3.10804	5.10098	13.6563	4.11949	2.04636	2.03165	6.26417
ADAMTSL5	617.905	818.359	858.9999	661.91198	358.04057	425.616	395	433.038	632.612	316	348.89	405.899
ADAP1	362.9999	377.000000166094	240.9998	266.9996	28.99999	20	21	28	271.9998	176.9996	145.0003	161.0001
ADAP2	7.00856	9.09968	11.2369	19.0045	5.82383	13.0292	5.2259	10.2949	8.86265	7	5	18.0185
ADAR	13121.97	17138.02	13722.99	13463.98	8761	11774	7011	8916	14940.95	10063	9856	10902
ADARB1	2665.11	3311.0042	3326.200052	2197.835	963.72650336055	1440.354	857.661300017076	1086.41060828482	2604.8227	1660.5087	1842.0004	2132.6696
ADARB2	0	2.01375	2.02486	6.10896	3.00012	5.01555	0	0	4	1.00003	1.05694	3.13643
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	727	1006	870	836	508	636	636	694	1111	679	744	751
ADAT2	182.2022	236.908	231.308	260.22	134.2953	163.4176	139.3239	201.4522	199.5405	128.124	185.3064	196.3119
ADAT3	47.0276	46	26	61.0316	18	42	23.0104	24.0179	37	29	43	45
ADCK1	237	327	228.0003	217.0004	155.9997	165.9995	188.9999	244.00000425531	260.0004	149	184.9995	223.000103898
ADCK2	533	593	243	356.00000975811	406	511	333	395	981.5061	582.20779	445	513.212
ADCK3	255.531344	401.4792	401.4632	315.2333	169.0717	262.4177	268.1138	231.1991163	474.7774	300.4066918	396.2502	436.1762
ADCK4	278.0001	420	362	347.9998	120	177.0004	231.9998	248.0002	472	246.9998	284.0005	322.0004
ADCK5	99	144	113	146	73	101	86	132	131	79	82	73
ADCY1	19.03732	24.15145	8.27247	14.005334	41.0039	52.1887	31.07295	31.03962	27.0101	19.0238	22.38923	20.0209
ADCY10	10	9	3	7	8	25	11	11	3	10	2	1
ADCY10P1	49.22258	43.42763	46.1863	31.1431	11.52809	27.17934	19.060043	17.21403	34.6511	18.48782	33.42841	34.00511
ADCY2	4.03034	6.01598	3.00607	4.00004	2.999995	6.000632	3.00368	4.07947	2.00005	0	8.01261	9.65691
ADCY3	2573.12	3483.405	1403.433	1597.188	1138.808	1538.938	758.456	896.649	3681.305	2189.079	1505.026	1618.269
ADCY4	47.999971	50.000029	78.9999775	70	28	33.968500378913	31.0000327	14.938100196541	207.598135	93.8872	140.610828	121
ADCY5	28.2783	41.6806	14	10	8	23.00002	2.999996	4.000003	33	13.0000000515633	17.99998	22
ADCY6	1914.122	2503.116	1715.669	1561.458	1212.927	1609.712	1175.388	1162.521	2357.911	1488.275	1478.08	1437.445
ADCY7	5913.76208	6976.4364	5671.37796002957	5416.5877	4047.0235	5218.0669	5165.8725	5152.7894	5363.895	3352.987	3986.0071	3998.2871
ADCY8	6	11	3	6	2	2	0	8	1	2	1	5
ADCY9	6082	7999	7500.94	5827	4184.62	5194	4360	4672	4980	3161	3526	3860
ADCYAP1	0	0	0	0	2	0	0	0	0	0	0	0
ADCYAP1R1	5.00097553058	0	5.05791483092	1.01454323489	0	2.00048266949	4.00166082078	4.06158201579	9.05089271192	9.1207400895535	4.02765	5.01424114331
ADD1	21877.9600267739	28491.99560911	19594.0010000494	20209.9929023752	15356.99729877	20298.013859768	17965.0004	20276.021155687	24187.9937381702	15898.004695428	15042.9920000201	16218.99485602
ADD2	430.56388	549.5831	521.1233	521.91255	2148.66961	3088.634	2436.6093	2436.83694	1488.40216	935.3984	1015.5520136061	1314.6514
ADD3	8512.9967	11675.999	11309.9935	9045.9939	7988.0002	10288.0011	11745.9857000148	11913.90997057	7312.0006	4748.9698	5476.006	6260.9732
ADD3-AS1	19.6322	26.10043	14.8796	20.0701	30.2038	34.19735	25.03696	47.87936	6.00914	3.17088	2.0429	5.02371
ADGB	0	0	0	0	0	0	0	0	4	0	1	0
ADGRA1	0	0	0	0	0	0	1	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	6040.262	7685.179	6947.744	4616.986	1589.784	1824.547	984.1692	1214.022	3877.905	2011.916	2513.4383	2503.7973
ADGRA3	873.6469	1206.0336	513.086	680.28159	450.924	594.144	344.31100385374	411.48721	1725.82	1275.68781	919.00003	957.73446
ADGRB1	14	6	1	8	18	14	27	19	37	23	24	23
ADGRB2	244.0002235135	274.0000021	162.00004637	198.000074491	143.99998	172	114.99997	158	190.99972	119.9998	118	89.999915
ADGRB3	11	16	5	2	0	0	0	0	0	0	1	0
ADGRD1	46	52	72	23	29.00007	33	21.99998	30.00003	1255.9992	706.9992	1071.0008	1087
ADGRD2	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE1	8	8	8	15	2	0	1	0	1	2	0	1
ADGRE2	23.22429	25.1621	21.58078	24.2086	27.4652	38.20105	49.84	79.5807	17.54781	7.68919	7.12146	15.32419
ADGRE3	0	0	0	0	0	0	0	0	0	0	2	0
ADGRE4P	2.10329	1.11255	0	1.09815	0	1.08166	0	0	0	1.03989	0	0
ADGRE5	4692.238	5823.78	3579.084	4789.24	5699.47	8227.26	8004.96	9074.14	5604.295	4204.956	3284.366	3791.37
ADGRF1	13.0083	5.30465	4.9807	11.0013	0	9.42295	3.00051	11.003	6.01031	7.45325	0	6.74122
ADGRF2	0	0	0	2.02284	0	0	0	0	2	0	1	0
ADGRF3	10.00505	7.00671	17.03333	10.00544	19.0285	15.013680533529	8.00729	5.01091	27.0786	17.05403	32.15626	20.01626
ADGRF4	0	0	0	1.000000278	0	3.00000123	0	0	1.00000038	1.000000258	3.99999815	4.00000372
ADGRF5	21	17	12	6	0	0	0	2	101.8711	28	36.99997	36
ADGRF5P1	0	4	1	3	0	5	9	8	1.12895	0	1	0
ADGRF5P2	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	163.47889312	176.3235	62.9806	236.159130417243	57.54182	108.03790664	71.9483000608771	144.123	351.6494	245.03599	170.2913	181.8902
ADGRG2	18.999996012606	25	39.000050222736	20.0000380954441	12.0000270105551	16.0000000190828	9.999997	11	23.00001	12	13.000015	11.999986
ADGRG3	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG4	1.01086	0	1.00281	0	0	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0	0	3	0	0	0
ADGRG6	168	253.99959	203	277	234.99984	384.9998174457	329.9998	357.0001	789.0001	598.9994584	535	723.001
ADGRG7	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL1	358.0616	446.455	483.064	431.676	179.3312	272.51	142	206.0003	536.693	313.863	426.462	539.54
ADGRL2	3221.9990170292	4573.999	2873	3650.00393186	7966.99882	10877.9960000343	10664.0009	12357.00016	4427.00133192915	2811.997	3194.9980416847	3716.00660762
ADGRL3	1.00000004209	3	3	0	2	1.0000003237382	0	0	0	0	2.9999961535	1
ADGRL3-AS1	0	0	0	0	0	1.0083	0	0	0	1	0	0
ADGRL4	1700	2118	2316	2457	1413	1582	2604	2382	1298	1037	884	1158
ADGRV1	1.999997	5	2.000002	0	0	4	1	2	4	1	4	12
ADH1A	0	0	0	0	0	0	0	0	0	2	0	0
ADH1B	5.296719	5.147353	8.303171	2.753434	7.745652	4.686063	5.747887	3.020996	0	0	2.5542345	1.04302
ADH1C	0	0	1	0	0	0	5	2	1	2	1	3
ADH4	9.71080281864	3.353620591431	7.049760351357	1.00000025689	20.1753	21.0895383147	15.34300335876	21.9999722024	19	10.0024	6	12.002356
ADH5	11359.85	15162.89	15220.5	13179.14	10163.83	12953.72	16813.95	18199.17	20551.51	12913.31	15169.65	15685.3
ADH5P2	0	0	3.00525	0	0	0	0	2.00451	1.0027	0	0	2.0056
ADH5P3	0	5.01363	1.00217	0	3.01056	0	0	6.01762	1.00161	0	1.00237	0
ADH5P4	1.112	1.11834	3.39317	5.61727	6.89715	1.12217	0	6.8076	11.2546	4.56138	2.28802	4.56022
ADH6	5	1	21.08587	13	3	1	2	3	18	13.99996	10	23.00003
ADH7	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	48	72	75	39	25	27.000008	41	45	81	31.99998	41.99996	45.999991
ADI1	6630.167	8683.329	7216.945	7129.48	4013.455	5350.336	6582.7645	7340.3271	10784.751	6276.7541	7582.4615	8174.5434
ADIG	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	8.91151407517	19.94700439374	15.3223144832	9.6796634619	6.12006369522	2.22930182352	11.3309049805	1.007140419499	8.08899357948	0	4.072380402836	9.38192202013
ADIPOQ-AS1	0	1.61811	3.87516	2.05208	0	2.96492	0	1.00146	0	1.0066	3.00365	0
ADIPOR1	7805	10419	7783	8009	6627	9379	10168	12144	12712	7924	7997	8703
ADIPOR1P1	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1P2	0	0	1.0004	0	0	1.00033	0	0	0	0	0	0
ADIPOR2	4650	5986	5644	5540	3307	4691	4578	5396	6421	4131	4289	4947
ADIRF	2648.947	3776.888	1448.906	1734.582	2702.02	3662.698	3503.291	3756.228	5097.677	2732.641	2841.118	2932.163
ADIRF-AS1	145.554	165.1109	110.0903	124.4764	147.9834	108.288	65.0707	49.7722	158.8659	117.7696	124.5934	90.8387
ADK	2920.0044	3614.9944	3220.0047	3812.9981	2590.00174	3283.00601	4060.99909	4618.993	4380.0013	2985.9928	3114.9982	3334.0072
ADM	8119.9995	13640.0069	15794.964	8522.0011	2676.0017	3019.9959	4207.99505	3703.00114	9347.99679	4822.0005	8834.99784	8342.9999
ADM2	555.047	560.949	1616.77	607.766	145.07	152.658	105.56	117.681	376.744	139.958	415.63024	366.903
ADM5	1	2	3	5	2	5	6	1	4	4.78699	1	2
ADNP	5406.9961	7233.5595	6284.3534	6191.155	3107.7377	4188.7443	3782.0021	3926.892	5204.434	3310.7311	3588.843	4142.995
ADNP-AS1	27	35.3234	52.4541	31	23.1618	33.2127	23	22	12	15.2685	19.1548	44
ADNP2	1092	1317	1384	1360	881	1167	1152	1442	1600	993	1050	1200
ADO	1674.91	2101	2046.96	1702	1329	1734	2148.81	2204.93	2553.96	1687.97	1557	1808.91
ADORA1	122.00000676	149	80.00003	120.00002903	199.9997	370.0002	347.9997	373.000300030311	207.99973383	152	92.0000224973	127.00001125
ADORA2A	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	4.01311	11.00549	7.02824	5	3	3.0055	2.00524	0	0	1.00174	0	0
ADORA2B	79	127	90	55	62	91	77	124	203	107	110	137
ADORA2BP1	0	0	0	0	1	2	0	3	0	1	0	0
ADORA3	0	0	0	0	0	0	1	0	0	2	0	2
ADPGK	2517.958	3229.944	2503.935	2461.001	1807.959	2429.988	2750.827	3002.967	3715.853	2157.87	2675.96	2843.962
ADPGK-AS1	6.04504	10.0555	6.06488	2.00384	9.03729	4.0125	15.1678	7.0312	12.1427	13.132	4.03927	5.03415
ADPRH	212.9291	249.99979	252.9995	218.00009	314.0003	430.9999	485.7225	522.9995	429.99966	247.9999	242.00042	309.9998
ADPRHL1	235.51019	262.27847	276.4357	345.316	112.98826	136.981	147.9091	158.3787	364.374	213.0748	248.1192	243.75512
ADPRHL2	917	1093	844	929	650	912	932	1027	1442	845	882	900
ADPRM	233.9998	369.9999	388	319.0001	164.0003	231.9999	246	324.9998	399.0002	237.9998	266.9998	244.0003
ADRA1A	15.1494	18.8315	13.6586	16.5147	0	2.36643	3.09134	4.01463	4.89038	4.61745	1.14222	9.73119
ADRA1B	118	186	182	118	59	89	93	115	147	103	106	123
ADRA1D	592	854	709	538	323	374	524	444	252	184	154	171
ADRA2A	296	575	1066	269	387	375	378	420	1454	779	1310	1507
ADRA2B	0	0	1	0	0	0	0	0	2	2	0	1
ADRA2C	110	150	87	73.000011	513.0001	709.00022	755	827.0005	196	120	87	138
ADRB1	0	4	0	1	2	1	0	0	1.03656	3	0	0
ADRB2	19.0028	39.0323	34.0184	47.0062	52.2189	108	59.0209	100	37.0085	40	15.0024	16
ADRB3	1.29618	0	0	0	1.29216	0	0	1.61977	0	0	0	0
ADRBK1	1347.9967	1728	1483	1373.005	812	1100.0017	1025.00396	1041.0014	1824	1045	1182.0031	1358.0046
ADRBK2	21.69768	33.1535	23.8359	49.45958	78.1284	113.9699	111.6891	122.2694	68.7966	38.31512	26.3718	49.27777
ADRM1	3830.899	4615.8485	3219.579	4017.893	3205.773	4340.766	4008.928	5094.003	5597.859	3970.957	3589.995	4079.953
ADSL	2884.597	3465.385	2992.79	3429.502	1789.73	2397.422	2796.582	3131.934	4473.723	2956.751	3025.416	3229.173
ADSS	3569.98	4553	4775	4473	2274	3090	3266	3740	4446.93	2973.92	3206	3633
ADSSL1	67	107	120.000179204	101	30	36	48.000036	47	101.99994	56	112	119
ADTRP	361.99965	288.00006	245.9997	530	106	228.0002	150	227.0004	298	231.9999	147.0001	167
AE000658.22	1.75014	0	0	1.51058	0	0	0	0	3.22338	1.19195	0	3.13771
AE000658.25	0	0	0	0	0	0	0	0	0	0	0	0
AE000658.30	0	0	1.10135	4.18274	0	0	0	1.07933	0	0	0	0
AE000658.31	2	5.32442	5	3	2	1.55888	0	1	0	12.2932	0	0
AE000659.41	0	0	0	0	0	0	0	0	0	0	0	0
AE000660.21	0	0	0	0	0	0	0	0	0	0	0	0
AE000660.4	0	0	0	0	0	0	0	0	0	0	0	0
AE000661.36	0	0	0	0	0	0	0	0	0	0	0	0
AE000661.37	0	0	0	0	0	0	0	0	0	0	0	0
AE000661.50	0	0	0	0	0	0	0	0	0	0	0	0
AE000662.92	0	0	0	0	0	0	0	0	0	0	0	0
AE000662.93	0	0	0	0	0	0	0	0	0	0	0	0
AEBP1	11275.9579	11695.9972	14095.9844	10161.9675	7038.0046	8215.9962	1534	1211	3799.99752	2153.9962	2900.00372	3179.0013
AEBP2	1220.0001	1776.001	1835	1526	749.9997	971	986	924.0006	1294.0004	861.9997	956.9996	1055
AEN	1861	2465	1858	2070	1395	1916	1700	1877	2777	1896	1599	1785
AES	12778.996	16053.002	11616.993	12081.902	7508.001	10278.002	9436.007	11050	17985.048	10544.997	11660.428	12510
AF001548.3	8.38463	12.1741	9.03254	1.02625	12.1853	3.19646	2.00353	3.05254	7	0	8.2432	11.122
AF001548.5	24.9505	31.7286	21.938	21.7583	6	15	6	16	13	6	4	5
AF001548.6	0	0	0	0	0	0	0	0	0	0	0	2
AF001550.7	0	0	0	0	0	0	0	0	0	0	0	0
AF003529.2	0	0	0	0	0	0	0	0	0	0	0	0
AF003625.3	0	0	0	0	0	0	0	0	0	0	0	0
AF003626.1	0	0	0	0	0	0	2	0	0	0	0	0
AF011889.2	2.18167	0	2.96609	2.92898	0	0	0	0	0	0	0	2.63343
AF011889.5	92.3189	301.753	136.354	134.747	240.347	395.978	281.309	671.147	403.824	154.371	313.775	199.896
AF013593.1	0	0	0	0	0	0	0	0	0	0	0	0
AF015262.2	0	0	0	0	0	0	0	0	0	0	0	0
AF015720.3	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.3	0	7	2	1	0	2	0	0	1	0	0	2.00521
AF038458.4	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.5	4	1	1	2	0	3	0	0	0	0	1	0
AF064858.10	0	0	0	0	0	2	0	0	0	0	1	0
AF064858.11	0	0	0	0	0	0	2	0	0	0	1	0
AF064858.6	2	0	0	0	0	0	0	0	0	0	0	0
AF064858.7	0	0	0	0	0	0	0	0	0	0	0	0
AF064858.8	2	3	1	0	3	0	1	2	0	1	0	0
AF064860.5	0	5	0	2	0	0	0	0	0	0	0	0
AF064860.7	1	2	1	1	0	0	0	0	0	0	1	2
AF067845.1	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.2	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.3	0	0	0	0	0	0	0	0	0	0	0	0
AF096876.1	0	0	0	0	0	0	0	0	0	0	0	0
AF104455.1	0	1	0	0	0	0	0	0	0	0	0	0
AF106564.1	0	0	0	0	0	0	0	0	0	0	0	0
AF111168.1	0	1.15129	1.17677	0	1.03264	3.36134	3.1116	0	0	0	0	0
AF111168.2	11.9773	16.9721	14.8329	18.8309	11.3445	26.895	3.89495	7.73012	10.093	22.6166	0	19.9377
AF111168.3	0	0	0	0	0	0	0	0	0	0	0	0
AF111168.4	0	2	0.878052	0	3	2	0	0	1	0	0	0
AF121897.4	0	0	0	0	0	1	0	0	0	0	0	0
AF121898.3	0	5.06615	0	5.08999	1	1	0	1.7886	1.00063	0	0	4
AF124730.4	1	2	0	2	0	0	0	0	1	0	2	0
AF127577.10	0	0	0	0	0	0	12.6673	0	0	0	0	0
AF127577.11	1	1	5	2	0	4	1	1	4	0	0	3
AF127577.12	0	0	2	0	0	0	0	0	0	2	0	0
AF127577.13	4	0	3	3	0	0	1	0	4	0	0	2
AF127577.8	3.65767	9.99723	9.12328	8.5589	5.3573	7.45679	4.06357	3.65122	6.29989	0	5.35713	0
AF127936.3	0	0	6.70531	3.48407	3.03662	11.104	8.51469	2.35522	0	2.53809	2.00297	0
AF127936.5	0	0	0	0	0	0	0	0	0	0	0	0
AF127936.7	32.90609	65.66388	29.33508	28.00258	15.72429	32.07428	26.2868	37.18437	56.32748	23.26195	31.75861	35.66569
AF127936.9	173.938	239.605	209.89	166.215	96.4877	139.018	169.646	122.174	258.239	243.125	188.169	180.929
AF129075.5	3.00139	4.01812	4	0	0	1.00207	2	1	0	0	0	0
AF129408.17	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.1	0	0	0	0	0	0	1	0	0	0	0	0
AF131215.2	0	0	0	0	0	0	0	1	51	34	40	38
AF131215.3	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.4	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.6	0	0	0	0	0	0	0	0	1	0	0	6
AF131215.8	0	0	0	0	0	0	0	0	3	0	0	0
AF131215.9	5.09978	7.58037	0	3.05655	0	0	0	0	8.06591	10.8057	3.03344	8.46872
AF131216.1	9.39145	11.6579	8.36081	14.3779	3.13539	8.55221	21.8401	7.25644	9.68733	8.64023	11.9824	8.37263
AF131216.5	8.17287	4.83892	2.71396	2.51319	1.00068	2.11247	1.14722	4.00015	4.21644	6.02627	2.24302	9.4856
AF131216.6	13.693	21.4414	18.317	22.5418	15.6305	31.7278	11.4831	11.2846	1.04397	7.17831	5.1275	14.4545
AF131217.1	64	89	59	63	130	137	165	190	117	82	66	92
AF146191.4	5	1.999996	10	2	0	2	2	0	12	5	6	6
AF146191.8	0	0	0	0	0	0	0	0	0	0	0	0
AF165138.7	0	0	0	0	0	0	0	0	0	0	0	0
AF178030.2	0	0	0	1	0	0	0	0	0	1	0	1
AF186192.1	0	0	2	0	0	0	0	0	0	0	0	1
AF186192.5	2	0	0	2	0	0	0	0	0	2	0	0
AF186192.6	4	0	2	0	0	0	1	1	0	0	0	0
AF186996.1	0	0	0	0	0	0	0	0	0	0	0	0.142857
AF186996.2	0	0	0	0	0	0	0	0	0	0	0	0
AF196970.3	0	1.48755	1.44213	3.61828	0	0	0	0	0	5.05518	0	4.55013
AF196972.10	0	0	0	0	0	0	0	0	0	0	0	0
AF196972.3	0	0.433667	0	0	0	0	0	0	0	0	0	1
AF196972.4	5.01316	0	3.00801	0	0	3.00841	0	0	0	0	1.05411	0
AF196972.9	5	1	3	3	1	1	0	7	1	4	1	6
AF212831.2	0	0	0	0	0	0	0	0	0	0	0	0
AF213884.1	0	0	0	0	0	0	0	0	0	0	0	0
AF213884.2	0	0	0	0	0	3	0	0	3	1	1	0
AF213884.3	0	0	0	0	0	0	0	0	0	0	0	0
AF216667.1	5	1	6	1	1	4	1	0	3	2	1	3
AF224669.3	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.1	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.13	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.2	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.5	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.8	0	0	0	0	0	0	0	0	0	0	0	0
AF230666.2	10.1002	10.29933	1.54562	13.7009	7.47833	23.82874	6.74127	3.92447	1.49402	3.629	4.06088	0
AF235103.1	0.393219	0	0	0	0	0	0	0	0	0	0	0
AF238378.7	0	0	1	0	0	0	0	0	0	0	0	0
AF238380.8	0	0	0	0	0	0	0	0	0	0	0	0
AF240627.2	0	0	0	0	0	0	0	0	0	0	0	0
AF241725.4	0	0	0	0	0	0	0	0	0	0	0	0
AF241725.6	0	0	0	0	0	0	0	0	0	0	0	0
AF241726.2	0	0	0	0	0	0	0	0	0	0	0	0
AF241734.1	0	0	0	0	0	0	0	0	0	0	0	0
AF246928.1	0	0	0	0	0	0	0	0	0	0	0	0
AF254982.2	0	0	0	0	0	0	0	0	0	0	0	0
AF254983.1	0	0	0	0	0	0	0	0	0	0	0	0
AF274855.1	0	14	3	7	0	0	0	0	0	0	0	0
AF277315.13	0	0	0	0	0	0	0	0	0	0	0	0
AF277315.19	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1	13471.23	18954.351	17827.1273	14527.2387	14697.230878	19816.819	15817.497	17109.081001355	16439.7610000247	10227.53	11723.872	13193.5433
AFAP1-AS1	19.7229	44.635	23.8351	17.7532	19.7683	32.1409	14.4973	26.9336	6.25916	13.4706	2.08136	11.4637
AFAP1L1	390	501.006	477.008	593	184	263.003	202.99953	248	203.001	181	144	156.000382606
AFAP1L2	1	1	1	0	0	0	0	0	0	0	0	0
AFF1	3118.658	4329.829	4295.387	3616.714	2331.597	2974.611	1890.832	1902.443	3257.432	1941.596	2267.87500418371	2729.844
AFF2	488.00019	656.00019	522.99983	532.00002	333.9995689	455.99989	459.9996	361.00026	498.00382	280.0004	372.0045	391.99978
AFF2-IT1	0	0	0	0	0	0	0	0	0	0	0	0
AFF3	273.60586	413.9188	772.05658	186.6923	30.7342	33.8294	24.6069	26.63399	253.592	117.52049	244.74014	218.1229
AFF4	14266.01	20198.997	18862.9572	15431.957	11468.046	14821.95	12731.9559	12668.0381	17855.974	11308.997	11216.98	13172.959
AFG3L1P	62	83	63	75	25	62	22	51	49	22	46	37
AFG3L2	2940.69	3900.58	3187.79	3146.48	1947.41	2901.97	2518.28	3113.04	3961.83	2751.83	2599.41	2835.3
AFG3L2P1	0	0	0	0	1.01969	0	0	0	1.01419	0	0	0
AFM	0	0	0	0	0	0	0	0	0	0	0	0
AFMID	594.7693	727.4935	675.1217	628.9773	452.69472	573.92259	684.51607	735.31715	914.91547	608.57392	711.7432	710.85292
AFP	17	7	17.99999	32	14	19	24	20	48	29	23.00003	40.000000799696
AFTPH	1347.9993	1965.996	1873	1520.00061	1192.6122	1430.99879	1550.9763	1648.00310019883	1615.9992	1130.79210001872	1149.108	1230.9998
AGA	602	806	872	577	730	800	771	756	1296	771	897	1042
AGAP1	1877.9005	2401.3494	1934.0005	1913.99962104646	1467.99975	1794.0003	1205.99969	1433.99953	2017.0003	1337.00029	1303.79932	1521.9718
AGAP1-IT1	8	8	0	4	6	5	9	14	2	6	1	1
AGAP10P	1.96548	9.27943	0	0	3.71408	8.57924	1.86405	1.60922	7.57774	0	1.41992	10.8752
AGAP11	35.0323	38.6469	23.9883	9.59268	69.4574	59.6398	0	0	7.69802	7.89337	3.88449	3.53479
AGAP2	41.06138	47.3405	32.14833	42.0206	32.4544	39.8115	17.9531	43.95581	30.40283	9.50083	13.7325	28.22194
AGAP2-AS1	1042.94	1208.66	1013.85	1065.98	646.546	871.189	1112.05	1218.04	1056.6	752.499	881.268	925.778
AGAP3	1910.00000000983	2389.99516	1520.00016	1691.9989	1321.9989896	1806.999048991	1227.0006	1555.000189119	2438.00411	1666.9992	1391.0009	1481.0003
AGAP4	37.54689	36.4531	72.7129152595	33.04986	34.543158	33.9505500774104	6.61916	14.5406	11.21588466	29.72637	30.95856	22.82738
AGAP5	53.3397	56.6287	89.6956	47.0318	32.24831914	49.951426	3.82247	1.82043	17.3483	0	4.07785	1.46043e-07
AGAP6	199.0108	258.6582	245.9638	201.4592	101.67010371	184.7837	33.0056	55.285	77.51944	48.174	52.9805	40.7423
AGAP7P	0	14.0713	24.617	0.450708	0	3.38626	0	0	7.64508	0	0	0
AGAP9	87.4597	138.127	111.893	138.887	57.3853	58.3473	38.9426	11.3059	87.6812	34.6222	76.5601	27.0251
AGBL1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	1.08063	1.06635	0	1.03197	0	1.04791	0	2.08538	4.01822	0	0	1.01629
AGBL2	8	8	22.2315066	14	3	10	13.00003	3	14	1	10	8
AGBL3	2	17	7	16	2	3	2	9	6	4	13	14.99998
AGBL4	5	8.00543	4.00756	5.999996	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL5	1489.224	2019.438	1577.642	1538.146	617.566	891.936	1232.711	1185.796	2445.537	1470.733	1700.264	1685.926
AGBL5-AS1	0	0	0	0	0	0	0	0	0	1	2	0
AGBL5-IT1	2	10	4	6	3	4	0	3	3	0	0	1.0212
AGER	29	62.99997	39.00001	37.00001293412	32.999978	30	18.00001	25	14	12.99999	12	22
AGFG1	3929.9936	5073.00285	5473.0091	4741.9953	3318.9963	4273.00391	5262.9968	5766.9982	5014.0839	3592.9945	3441.99749	4085.99
AGFG2	454	636	471	506	252	384	444	475	535	346	434	493
AGGF1	2088	3021	2742.99	2354.00167	1447	1652	1918	1879	2281	1609	1732	1855
AGGF1P1	0	0	2.0066	0	0	1	1	1	0	0	2	1
AGGF1P10	0	0	1	2.00184	0	0	0	0	0	1	0	2
AGGF1P2	0	1	0	0	0	0	0	0	3	0	0	0
AGGF1P3	3	2	1	0	3	13	8	2	6	2	0	0
AGGF1P4	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P5	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P6	0	0	0	0	0	0	0	0	0	0	0	0
