7485_IG1_20200906	7485_IG3_20200906	7485_ZX2_20200906	7485_ZX3_20200906	7481_IG1_20200906	7481_IG3_20200906	7481_ZX2_20200906	7481_ZX3_20200906	7486_IG1_20200906	7486_IG3_20200906	7486_ZX2_20200906	7486_ZX3_20200906
AC007326.10	0.0221875	0.0112594	0.00682012	0.00645815	0.0214198	0.0531754	0.0275398	0.0575806	0.047068	0.0356673	0.0712634	0.0834482
AC007326.9	0	0	0	0	0	0	0	0	0	0	0	0
AC007327.5	0	0	0	0	0	0	0	0	0	0	0	0
AC007327.6	0	0	0	0	0	0	0	0	0	0	0	0
AC007333.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007339.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007339.2	0	0	0	0	0	0	0	3.49779	0	0	0	0
AC007347.1	2.52579e-05	0	0	0	0	0	0	0	0	0	0	0
AC007349.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007349.5	0	0	0	0	0	0	0	0	0	0	0	0
AC007349.7	0	0	0	0	0	0	0	0	0	0	0	0
AC007358.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007359.6	0	0	0	0	0	0	0	0	0	0	0	0
AC007362.3	0	0	0.764473	0.556002	0	0.158401	0	0.177295	0	0	0	0
AC007364.1	0	0	0	0	0	0	0	0	0	0.0455931	0	0
AC007365.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007365.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007365.3	0	0.247115	1.59319	0.273426	0.150423	0.246566	0.466824	0.134068	0	0.31344	0.171077	0.490784
AC007365.4	0	0.360589	0	0	0	0	0	0	0.24253	0	0	0
AC007367.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007375.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007381.1	0	0	0.706123	0	0.534653	0	0.329493	0	0	0	0	0
AC007381.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007383.3	3.797377	4.677127	0.741612	0.68814	1.96575	3.133646	1.36304	1.261222	3.34899	5.111765	1.705403	0.633649
AC007383.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007383.6	0	0	0	0	0	0	0	0	0	0	0	0
AC007384.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007386.2	0.249831	0.107659	0.218452	0.105601	0.113557	0.111408	0.141663	0.109855	0.101933	0.115105	0.250018	0.242231
AC007386.3	0	0.144059	0	0	0	0	0	0	0	0	0	0
AC007386.4	0.131243	0	0.450018	0.374908	0.331475	0.274253	0.193842	0.0932628	0.409085	0.0842224	0.185587	0.442036
AC007387.2	0	0	4.24457	0	0	0	0	0	0	0	0	0
AC007389.1	0.144724	0.0739796	0.441171	0.250139	0.242319	0.224824	0.211672	0.113481	0.404921	0.094734	0.4091	0.196318
AC007389.2	0	0	0	0	0	0	0	0	0	0	1.14747	0.55744
AC007389.3	0.443838	0.309466	0.435946	0.487908	0.245003	0.406567	0.301889	0.452786	0.445871	0.312804	0.462295	0.499578
AC007389.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007390.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007391.2	0	0	0	0	0.23594	0	0	0.210724	1.07203	0.252957	0	0
AC007392.3	1.03101	1.270328	0.263451	0.125745	0.13715	0	0.106946	0	0.543368	0.257018	0.466853	0.320649
AC007392.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007394.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007395.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007395.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007402.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.3	0.338344	0.65867	0.796381	0.190361	0.208953	0	0	0.177678	0.465411	0.217593	0.235925	0
AC007405.4	0.127212	0.325066	0.280733	0.398813	0.266594	0.129895	0.210301	0.139542	0.299787	0.141886	0.340991	0.181736
AC007405.6	0.13151	0.147732	0	0	0.165411	0.302301	0	0	0	0	0	0
AC007405.8	0.754243	0.409947	0.184109	0.431323	0	0.396366	0.48086	0	0.347	0.869091	0.353016	0.170358
AC007422.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007435.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007436.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007450.1	2.44526	0	0	0	0	4.89216	0	2.60744	0	5.50468	3.19335	0
AC007461.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007463.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007486.1	0	0	0	0	0	0	0	0	0	7.61004	0	0
AC007511.1	0	11.4292	6.832	0	0	20.7769	0	0	6.58906	0	0	8.32257
AC007528.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007528.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007535.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007551.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007551.2	0	0.192773	0	0	0	0	0	0	0	0	0	0
AC007556.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.2	0	0	0	0	0	0	0	0	0	0	0	0.278123
AC007557.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.5	0	0	0	0	0	0	0	0	0	0	0	0
AC007559.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007560.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007560.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007562.1	0	0	0	0	0	0.535673	0	0	0	0	0	0
AC007563.1	0	0	0	0	0	0	0	0	0.0264232	0	0	0
AC007563.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007563.4	0	0	0	0	0.346152	0	0	0	0	0	0	0
AC007563.5	0	0.327406	0	0	0.306337	0	0	0	0	0	0.345752	0
AC007566.10	0.907191	1.62807	0.977413	2.07418	1.02166	0.508693	0.57058	1.35354	0.846221	0.589535	1.13997	0.408314
AC007567.1	12.174	2.96801	3.72825	15.1026	3.86398	3.28016	9.34639	9.94239	0	6.66293	12.0458	20.3362
AC007568.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007611.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007618.3	0	0	0	0	0	0	0.191537	0.110781	0	0	0	0
AC007620.3	11.9126	10.0571	7.43609	7.66837	6.95674	9.70637	4.5277	10.7614	7.59843	9.85079	9.88446	7.09257
AC007631.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007652.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007677.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007679.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007679.3	0	0.185797	0	0.243345	1.36755e-09	0	0.19996	0	0	0	0	0.220011
AC007679.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007682.1	0.0149195	0.0752673	0.0912532	0.017723	0.0192661	0.0158238	0	0	0	0.0191431	0.0211787	0
AC007682.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007682.3	0	0	0	3.33291	3.42694	0	0	2.99223	0	0	0	0
AC007682.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007731.1	0	0	0	0	0	0	0.0290612	0.0338943	0	0	0.0837091	0.0798819
AC007731.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007740.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007742.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007743.1	6.241005	7.109363	8.354323	7.776779	14.127195	16.410413	18.133555	14.189295	13.4383	13.49685	19.28473	16.66378
AC007750.1	7.72496	0.956354	6.76861	20.4741	22.0497	17.6859	12.6664	7.95012	31.1667	25.8562	12.2119	7.26815
AC007750.5	0.0970281	0.114037	0.138035	0.18602	0.144036	0.153844	0.110775	0.25973	0.134567	0.145223	0.273848	0.107943
AC007773.1	3.24559	3.31704	16.994	4.33943	0	0	0	7.02001	4.47411	4.21818	0	8.69064
AC007773.2	0.382733	0.824786	0.766901	0.220062	1.13283	0.854823	1.16239	0.714207	1.06382	0.651573	1.08701	0.435681
AC007787.2	0	0	0	0.0356382	0	0.0324488	0	0.0352628	0.0863347	0	0.0437047	0.0840887
AC007787.3	0.351968	0.481067	0.422245	0	0.438041	0.241602	0.227242	0.395409	0	0.152749	0.662334	0.639257
AC007790.4	0	0	0.122537	0	0	0	0	0	0.280231	0	0	0
AC007792.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007795.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007796.1	0.435852	0.443862	0.340971	0	0.176598	0.427931	0.136528	0.156067	0	0.940985	0.604664	0.194707
AC007842.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007875.2	0.255535	0	0	0	0	0	0	0	0	0	0	0
AC007879.1	0	0.157192	0	0	0	0	0	0.171981	0.218485	0	0.43652	0.627789
AC007879.2	0.308954	0.471671	0.729152	0.769412	0.945624	0.763846	0.678435	1.13768	0.630809	0.803305	1.06507	0.620304
AC007879.3	0	1.23649	0	0.854721	0.363334	0.286997	1.52104	0.40673	0	0.39166	0	0.808325
AC007879.4	0.28555	0.438466	0.687748	0	0	0.289675	0	0.79172	0	0.184864	0.20109	0
AC007879.5	0.366663	1.02169	1.177553	0.75171	2.583302	1.183815	1.760783	2.025922	0.575029	0.134465	1.236418	1.410692
AC007879.6	0.337615	0	0	0	0	0	0	0	0	0	0	0
AC007879.7	0.845233	1.67228	1.28565	1.36483	1.2046	1.56353	1.50568	2.06408	0.839634	0.955617	1.37773	0.921542
AC007880.1	0	0	0	0	0	0	0	0	0	0	0.04106	0
AC007880.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007881.1	0	0	0	0	0	5.28062	0	0	0	0	0	0
AC007881.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007899.3	0	0	0	0.122271	0	0	0	0	0	0	0	0
AC007906.1	0	0.140885	1.37535	0.769492	0.34151	1.27261	1.17554	0.8246	1.47413	1.53813	1.19414	0.936247
AC007919.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007919.18	0	0	0	0	0	0	0	0	0	0	0	0
AC007919.19	0	0	0.408215	0	0	0	0	0.189265	0	0	0	0
AC007919.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007948.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007950.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007950.2	0.0939566	0.023763	0.0286343	0.135558	0.0898279	0.0988682	0.0231294	0	0.164642	0.0904695	0.0332502	0.0952838
AC007952.4	3.01849e-05	1.51522e-06	1.36641e-05	0	0.481495	0	4.11562e-06	0	0	0	0	0
AC007952.5	0.523701	0	0.0499786	0.0339977	0.0629418	0.105323	0.0799742	0	0.0561711	0.0572166	0	0
AC007952.6	0	0	0.00196469	0.00128909	0	0.00535304	0.00704593	0.141907	0.0028475	0	0.139151	0.133347
AC007966.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007967.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007967.3	0	0	0	0	0	0	0	0	0	0	0	0
AC007967.4	0	0	0	0	0	0	0	0	0	0	0	0
AC007969.4	0	1.16461	0	0	0	0	0	0	0	0	0	0
AC007969.5	0	0.234632	0	0	0.585365	0	0.226619	0.263146	0.314814	0.599203	0	0.314654
AC007998.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008041.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008045.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.5	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.7	0.0350642	0.0368905	0	0	0.0445941	0.0378089	0.0345092	0	0.0492127	0.0451101	0	0
AC008060.8	0	0	0	0	0	0	0	0	0	0	0	0
AC008063.2	0	0	0	0	0.277481	0.340229	0.214637	0	0	0.285529	0	0
AC008063.3	0.125026	0	0	0	0	0	0	0	0	0.161515	0	0.167992
AC008065.1	0	0	0	0	0	0	0	0	0	0	0	0.433163
AC008067.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008069.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008069.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008072.1	0.778804	0.679464	1.05023	0.327304	0.656217	0.338831	0.490688	0.635363	0.858562	0.518559	1.0081	0.900674
AC008073.7	0.639582	0	0.479915	0.821313	0.5369	0.5078	0.569982	0.4439491	0.389526	0.445234	0.540767	0.382499
AC008073.9	0	0	0	0	0	0	0	0	0	0	0.195763	0
AC008074.1	0.478624	0	0	0.428517	0	0	0	0	0	0.248952	0	0
AC008074.3	0.0982188	0.19726	0	0.187875	0	0.060981	0.236358	0.106912	0.265091	0.117887	0.225257	0
AC008074.4	0	0	0	0	0	0	0	0	0	0	0	0
AC008074.5	0	0	0	0	0	0	0	0	0	0	0	0
AC008079.10	0.120356	0.175776	0.138031	0.131789	0.0969512	0.0981974	0.0973603	0.102458	0.124082	0.0929239	0.189973	0.131611
AC008079.9	0	0	0	0	0	0	0	0	0	0	0	0
AC008085.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008088.4	0	0.0917465	0	0	0.11203	0	0	0.164303	0.376435	0.117393	0.383912	0.245697
AC008103.3	0	0	0	0	0	0	0	0	0	0	0	0
AC008103.4	0	0	0	0	0	0	0	0	0	0	0	0
AC008132.13	0.0205052	0.0242196	0.0302088	0.0223214	0.0321702	0.069542	0.0261796	0.0163466	0.027444	0	0	0
AC008132.14	0	0	0	0	0	0	0	0	0	0	0	0
AC008132.15	0	0.0418905	0	0.0953653	0	0	0	0	0	0	0	0
AC008154.4	0	0	0	0	0	0	0	0	0	0	0	0
AC008154.5	0	0	0	0	0	0	0	0	0	0	0	0
AC008155.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008155.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008163.4	0	0	0	0	0	0	0	0	0	0	0	0
AC008166.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008169.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008171.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008173.1	0	0	0	0	0	0	0	0	0	0	1.54439	0
AC008175.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008264.4	0	0.599422	0.317522	0	0	0	0.505088	0	0.36489	0	0	0
AC008265.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008268.1	0	0	0	0.0626745	0	0	0	0	0	0.0702876	0.154155	0
AC008268.2	0.0297833	0	0.109214	0	0	0.111342	0.113229	0.140801	0.713065	0.374656	0.504879	0.365893
AC008269.2	0.12582	0	0	0	0	0	0	0	0.173987	0.162794	0	0
AC008271.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008277.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008278.2	0.24014	0	0	0	0	0.233192	0	0	0	0	0	0
AC008278.3	0.135196	0	0	0	0	0	0	0	0	0.593947	0	0.186065
AC008280.1	0	0	0.302889	0	0	0	0	0	0	0	0	0
AC008280.3	1.24125	1.27574	1.45031	0.924298	0.982755	0.397594	0.76825	0	0	2.13925	1.71014	0
AC008281.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008391.1	0	7.32577	3.65045	10.1018	15.1634	0	0	0	16.2954	0	5.30488	0
AC008410.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008427.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008440.10	0.981632	0.371933	0.145715	0	0.301419	0.123975	0.4657	0.274836	0.169679	0.315372	0	0.164441
AC008440.5	0	0	2.28283	0	0	0	0	0	0	2.625	0	0
AC008449.1	0	0	0	0	6.39512	0	0	0	0	0	0	0
AC008464.1	0	0	4.9386	0	0	2.01432	0	0	0	0	2.73594	0
AC008514.1	0	0	0.706123	0	0.534653	0	0.329493	0	0	0	0	0
AC008521.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008522.1	64.5594	47.9907	68.2569	58.5277	34.4821	27.5869	32.5104	23.8945	46.3476	32.7852	40.0377	33.8814
AC008536.1	3.2374	0	0	0	0	0	3.14141	0	0	6.6296	0	0
AC008547.1	8.74955	14.616	7.14445	7.37771	0	6.16952	7.00743	4.43665	8.25296	0	7.92676	0
AC008562.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008565.1	0.201867	0.100661	0.36521	0	0.125549	0.314154	0.192271	0	0	0	0.13835	0.268329
AC008581.1	0	2.71091	0	0	0	0	0	0	0	0	0	0
AC008592.3	0	0.235777	0.555607	0	0	0	0.444171	0.251112	0	0.302772	0.330609	0.311581
AC008592.4	0.466036	0.00757027	0	0	0	0	0	0	0.0289018	0.235512	0	0
AC008592.5	0.552231	0.559941	0.7975	1.26006	0.416658	0.567369	0.536147	0.371353	0.152848	0.284425	0.462682	0.296984
AC008592.7	0	0	0	0	0	0	0	0.313247	0	0	0	0
AC008592.8	1.4044	1.72499	1.76723	2.24684	1.12629	0.197057	1.58288	0.85337	2.71495	1.37525	1.02331	0.466847
AC008598.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008622.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008623.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008625.1	0	0	0	0	0	0	0	0	4.24367	0	0	0
AC008641.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008671.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008674.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008686.1	2.40991	2.46934	0.811986	2.29817	1.68629	0.929223	1.44631	2.53747	2.91571	3.77427	1.85879	2.54911
AC008691.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008694.2	0	0	0	0	0	0	0	0	0	1.08665	0	0
AC008694.3	0	0	0	0	0	0	0	0	0	0	0	0
AC008697.1	0.0343487	0.119693	0.0419289	0.0397132	0.0371342	0.0305698	0.0675235	0	0.0965039	0.0883197	0	0.318617
AC008703.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008703.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008737.1	0	0.948237	0	0	0	0	0	0	0	0	3.29746	0
AC008740.1	2.34556	0.716965	0	0	0.291585	1.90918	1.89327	0	0.175487	0	0	0.767482
AC008746.10	0	0	0	0	0	0	0	0	0	0	0	0
AC008746.12	0.0716348	0.217538	0.173627	0.164041	0	0.148115	0.348769	0.242387	0.397307	0.277092	0.202268	0.0966446
AC008746.3	0	0.131846	0	0	0	0	0.124515	0.143359	0	0	0.183552	0.17559
AC008746.5	0	0.876331	1.95835	3.77007	3.86418	1.57099	0	1.72217	0	1.07546	0	2.2541
AC008746.9	0	0	0	0	0	0	0	0	0	0	0	0
AC008752.1	0	3.34127	0	0	0	0	0	0	0	0	0	0
AC008753.1	0	0	0.706123	0	0.534653	0	0.329493	0	0	0	0	0
AC008753.3	0	0	0	0	0	0	0	0	0	0	0	0
AC008753.4	0	0.271376	0.606946	0.287405	0	0	0	0	0.708687	0	0.357198	0
AC008753.6	0.762088	0.393312	0.470728	0	0.236713	0.379763	0.55869	0.420314	0.526803	0.250801	0.806592	0.257533
AC008756.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008759.1	0	0	0	0	4.15763	0	0	0	0	0	0	0
AC008780.1	0	0	0	0	0	0	0	0	0	0	0	3.09702
AC008781.1	0	0	4.37603	7.94307	0	3.44776	0	0	0	0	3.59088	0
AC008781.7	0.235655	0.238824	0.569001	0	0.741076	0	0.344529	0.132306	0.491577	0.310885	0.334747	0.319935
AC008798.1	0	12.3911	3.98467	0	12.4022	0	19.5727	0	4.32622	0	0	12.7216
AC008810.1	4.67012	6.23389	2.99427	3.12518	0	1.26486	6.09519	5.06097	0	3.49006	4.62729	2.85696
AC008834.1	0	0	0	0	0	0	0	0	0	0	0	0.165375
AC008834.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008836.1	0	0	0	0	4.62871	3.85719	10.0028	0	0	3.80502	0	0
AC008850.3	0	0.307563	0.707312	0	0	0	0	0	0	0	0	0
AC008865.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008869.1	2.81233	13.5716	0	0	0	0	0	0	3.50772	0	0	6.98995
AC008869.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008906.1	0	0	0	0	0	0	0	2.06321	0	0	0	0
AC008914.1	4.73742	26.4071	0	40.2715	15.1795	33.2724	14.3097	25.642	16.4612	0	0	10.128
AC008937.2	0	0.15232	0	0	0	0	0	0	0	0	0	0
AC008937.3	0.220009	0.372794	0.357666	0.169051	0.368783	0.454829	0.288186	0.248139	0.306538	0.0948402	0.517932	0.099116
AC008938.1	0	5.67336	5.9929	6.488	5.42328	12.5077	0	0	4.35632	5.92195	16.0327	0
AC008940.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008949.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008967.1	6.49119	0	0	0	0	0	0	0	0	0	4.67874	0
AC008982.2	3.70934	3.26034	3.61499	3.30138	1.81697	2.44703	3.10528	2.26059	2.15316	2.04667	3.97037	3.59132
AC008984.2	0.257575	0.292939	0	0.29691	0	0.104724	0.0236727	0.084173	0.0464317	0	0.0755418	0.0460617
AC008984.5	0	0	0	0	0	0	0	0	0	0	0	0
AC008984.6	0	0	0	0	0	0	0	0	0	0	0	0
AC008984.7	0	0	0	0	0	0	0	0	0	0	0	0
AC008985.1	0.395402	0.320193	0.333255	0.33347	0.134514	0.263009	0.25986	0.354455	0.201988	0.143914	0.240584	0.313264
AC008991.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008992.1	0	0	0.235204	0.224466	0	0	0	0	0	0	0	0
AC008993.2	0.833448	2.23728	2.35024	2.51476	1.29189	1.26941	1.37969	1.04781	1.9486	2.36748	2.27127	1.65756
AC008993.3	0	0	0	0	0	0	0	0	0	0	0	0
AC009005.2	0.839489	0.601834	0.65434	0.846048	0.271068	0	0.421208	0.536315	0.452314	0	0.306222	0.879394
AC009009.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009014.3	0	0	0	0.0348117	0	0.0954522	0	0.034203	0	0	0	0
AC009022.1	0	0	0	0	11.6668	7.01306	0	0.0027833	11.0198	0	0	0
AC009035.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009052.12	0	0	0	0	0	0	0	0	0	0	0	0
AC009060.1	0	0.0162023	14.677	0	0	0.976647	9.04512	10.3703	10.9089	0	0	0
AC009060.2	13.3233	17.2629	17.591	9.83821	13.6407	15.7203	16.501	14.5952	9.57529	10.0087	17.1581	15.525
AC009060.3	0	7.46209	0	1.4507	0	0.614739	1.35152e-07	1.7881	0	6.5578	0	2.2007
AC009065.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009065.2	0	0	0	0	0	0	0	0	0	0	0	0
AC009065.3	0	0	0	0	0	0	0	0	0	0	0	0
AC009065.4	0	0	0	0	0	0	0	0	0.621044	0.576752	0	0
AC009080.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009081.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009084.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009095.4	0.592412	0.43172	0.300148	0.324128	0.355677	0.686809	0.228667	0.131389	0.592817	0.485623	0.0700626	0.378462
AC009108.1	0	3.27009	0	0	0	3.99024	3.42657	0	4.84893	0	4.85532	0
AC009108.2	0	0	0	0	0	0	0	0	0	0	0	0
AC009110.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009120.10	1.25746	2.34619	0	0.309056	1.39189	1.12207	0.413894	0.80703	1.15952	1.79793	0.302121	0.971484
AC009120.11	0.298986	0.384404	0.56229	0.4606	0.53492	0.482216	1.08064	0.378898	0.458539	0.700023	0.629567	0.229462
AC009120.3	0.553845	0.939311	0.445556	0.637646	1.387	2.07685	2.34032	0.206404	1.03449	0.238639	1.30373	0.500155
AC009120.4	0.0734627	0.225116	0	0	0	0.150708	0.0707133	0	0	0.088319	0.103216	0
AC009120.5	0.619009	0.953269	1.65104	1.21682	0.379357	0.626452	0.729289	0.679977	1.2753	0.202126	0.42794	0.416316
AC009120.6	2.061809	2.845589	2.360349	2.340097	3.32139	2.364881	2.531402	1.900132	1.502177	2.072081	2.904534	1.402831
AC009120.8	0	0	0	0	0	0	0	0	0	0	0	0
AC009120.9	0	0	0	0	0	0	0	0	0	0	0	0
AC009121.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009121.2	0	0	0	0	0	0	0	0	1.14786	0	0	0
AC009127.1	9.07877	5.86488	0	0	0	3.23544	0	3.31383	0	0	0	0
AC009133.12	6.656974	4.804505	5.517076	7.976087	4.362504	5.089118	6.674581	6.179709	6.628513	4.755041	7.323996	7.58896
AC009133.15	7.839	0.00233662	10.6967	6.46424	1.38993	11.0389	3.2932	6.19986	4.19424	1.12356	0	3.39307
AC009133.17	0.290361	0.568383	0.262068	0.372726	0.256453	0.379161	0.223017	0.309831	0.454964	0.355593	0.515829	0.143099
AC009133.21	2.75598	3.83974	3.02588	4.1332	1.10289	3.36531	2.29556	2.39464	2.21799	2.7076	3.60478	2.40809
AC009133.22	0	0	0	0	0	0	0	0.0335537	0	0	0	0
AC009133.23	0	0.0561698	0.0416762	0.296891	0	0	0	0	0.167784	0.229892	0.388332	0
AC009133.24	0.179163	0.181738	0	0	0.218724	0	0	0	0	0	0	0
AC009134.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009158.1	0.0930838	0.7937368	0.783817	0.107094	0.781236	0	1.88007	2.197125	1.72621	0	0	0.124824
AC009159.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009161.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009166.5	0	0	0.219619	0	0	0	0	0	0	0.233399	0.508959	0
AC009166.7	0.118747	0.22719	0.0742153	0.0938789	0.240065	0.171975	0.236524	0.134772	0.121036	0.053316	0.166298	0.242899
AC009196.1	0	0	0	0	0	0	0	0	0	0	0	0
AC009227.2	0.348791	0.378687	0.234944	0.282505	0.270878	0.138553	0.437926	0.433807	0.419362	0.146363	0.482858	0.225688
AC009227.3	0	0	0	0	0	0	0	0	0	0	0	0
AC009228.1	0	0	0	0.52835	0	0	0	0	0	0	0	0
AC009229.5	0	0	0	0	0	0	0	0	0	0	0	0
AC009229.6	0.905298	0	0.40861	0.402642	0.765051	1.374	0.297507	0.538551	0	0	2.62296	1.94966
AC009236.2	0	0	0	0	0	0	0	0	0.207096	0.198368	0	0
AC009237.10	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.11	3.84157	5.9242	4.23026	4.64058	2.99824	1.7304	0.517058	0.885845	0.376024	1.07394	0	0.368994
AC009237.13	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.14	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.16	0	0	0	0	0	0.31681	0.408911	0	1.14667	0	1.80479	0
AC009237.17	2.46252	1.72386	4.893	5.07332	1.48196	1.32946	1.37918	1.60794	3.53579	3.65755	5.33826	6.03096
AC009237.2	0.230491	0.861609	0.353886	0.731721	0	0.25679	0	0.721325	0	0.200179	0	0
AC009237.4	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.5	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.6	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.8	1.8406271	1.845762	1.967408	1.80371	0.873911	1.191185	0.630817	0.436396	0.4348078	0.537559	0.257605	0.630951
AC009238.6	0	0	0	0	0	0.329398	0	0	0	0	0	0
AC009238.7	2.46252	1.72386	4.893	5.07332	1.48196	1.32946	1.37918	1.60794	3.53579	3.65755	5.33826	6.03096
AC009238.8	2.17465	0.63787	3.66607	2.09373	0	0	0.7735	0	1.02733	0.40408	0	2.0865
